463,"select psfSigma1_z, psfSigma2_z, psfB_z, psfP0_z, psfBeta_z, psfSigmaP_z, psfSigma1_u, psfSigma2_u, psfB_u, psfP0_u, psfBeta_u, psfSigmaP_u, psfSigma1_g, psfSigma2_g, psfB_g, psfP0_g, psfBeta_g, psfSigmaP_g, psfSigma1_r, psfSigma2_r, psfB_r, psfP0_r, psfBeta_r, psfSigmaP_r, psfSigma1_i, psfSigma2_i, psfB_i, psfP0_i, psfBeta_i, psfSigmaP_i from Field where run = # and rerun = # and camcol = # and field = #"
2019-03-15 05:54:00,3
2019-03-15 05:57:00,1
2019-03-15 06:00:00,5
2019-03-15 06:04:00,4
2019-03-15 06:08:00,4
2019-03-15 11:22:00,2
2019-03-15 11:24:00,3
2019-03-15 11:25:00,2
2019-03-15 11:29:00,10
2019-03-15 11:35:00,10
2019-03-15 11:36:00,1
2019-03-15 11:38:00,2
2019-03-15 11:41:00,3
2019-03-15 11:45:00,10
2019-03-15 11:49:00,6
2019-03-15 11:51:00,3
2019-03-15 11:53:00,3
2019-03-15 12:02:00,10
2019-03-15 12:05:00,1
2019-03-15 12:06:00,3
2019-03-15 12:10:00,10
2019-03-15 12:15:00,2
2019-03-15 12:16:00,4
2019-03-15 12:17:00,1
2019-03-15 12:18:00,2
2019-03-15 12:22:00,8
2019-03-15 12:28:00,1
2019-03-15 12:31:00,2
2019-03-15 12:32:00,2
2019-03-15 12:33:00,1
2019-03-15 12:37:00,10
2019-03-15 12:41:00,1
2019-03-15 12:45:00,10
2019-03-15 12:48:00,3
2019-03-15 12:53:00,7
2019-03-15 12:54:00,3
2019-03-15 13:00:00,1
2019-03-15 13:59:00,1
2019-03-15 14:12:00,1
2019-03-15 14:24:00,2
2019-03-15 14:25:00,1
2019-03-15 14:38:00,2
2019-03-15 14:39:00,3
2019-03-15 14:40:00,3
2019-03-15 14:41:00,1
2019-03-15 14:42:00,2
2019-03-15 14:43:00,2
2019-03-15 14:44:00,4
2019-03-15 14:45:00,5
2019-03-15 14:46:00,2
2019-03-15 14:47:00,2
2019-03-15 14:48:00,5
2019-03-15 14:49:00,2
2019-03-15 14:50:00,2
2019-03-15 14:51:00,2
2019-03-15 14:53:00,9
2019-03-15 14:58:00,3
2019-03-15 14:59:00,7
2019-03-15 15:04:00,7
2019-03-15 15:07:00,1
2019-03-15 15:08:00,2
2019-03-15 15:10:00,4
2019-03-15 15:12:00,1
2019-03-15 15:14:00,2
2019-03-15 15:16:00,4
2019-03-15 15:20:00,1
2019-03-15 15:24:00,10
2019-03-15 15:26:00,1
2019-03-15 15:27:00,2
2019-03-15 15:28:00,1
2019-03-15 15:29:00,2
2019-03-15 15:30:00,2
2019-03-15 15:31:00,2
2019-03-15 15:32:00,2
2019-03-15 15:35:00,5
2019-03-15 15:39:00,1
2019-03-15 15:41:00,3
2019-03-15 15:45:00,8
2019-03-15 15:48:00,1
2019-03-15 15:49:00,1
2019-03-15 15:52:00,3
2019-03-15 15:57:00,1
2019-03-15 15:58:00,9
2019-03-15 16:00:00,2
2019-03-15 16:02:00,4
2019-03-15 16:06:00,4
2019-03-15 16:07:00,6
2019-03-15 16:09:00,1
2019-03-15 16:12:00,4
2019-03-15 16:16:00,6
2019-03-15 16:17:00,4
2019-03-15 16:24:00,1
2019-03-15 16:32:00,3
2019-03-15 16:33:00,7
2019-03-15 16:35:00,3
2019-03-15 16:36:00,1
2019-03-15 16:37:00,1
2019-03-15 16:38:00,2
2019-03-15 16:39:00,3
2019-03-15 16:40:00,1
2019-03-15 16:41:00,2
2019-03-15 16:42:00,1
2019-03-15 16:45:00,8
2019-03-15 16:49:00,1
2019-03-15 16:50:00,4
2019-03-15 16:54:00,10
2019-03-15 16:58:00,1
2019-03-15 17:00:00,2
2019-03-15 17:01:00,1
2019-03-15 17:04:00,1
2019-03-15 17:05:00,9
2019-03-15 17:10:00,9
2019-03-15 17:12:00,2
2019-03-15 17:16:00,3
2019-03-15 17:22:00,10
2019-03-15 17:26:00,1
2019-03-15 17:27:00,1
2019-03-15 17:29:00,2
2019-03-15 17:32:00,1
2019-03-15 17:43:00,7
2019-03-15 17:44:00,3
2019-03-15 17:49:00,4
2019-03-15 17:50:00,6
2019-03-15 17:55:00,1
2019-03-15 17:56:00,9
2019-03-15 17:58:00,1
2019-03-15 18:00:00,5
2019-03-15 18:03:00,4
2019-03-15 18:06:00,2
2019-03-15 18:07:00,3
2019-03-15 18:09:00,2
2019-03-15 18:10:00,3
