177,"SELECT  p.specobjId, so.bestobjId, p.type,  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw,   p.aperFlux7_g, p.aperFlux7Ivar_g as var_g,  p.aperFlux7_i, p.aperFlux7Ivar_i as var_i    FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid  JOIN PhotoObj as p ON p.specObjId = gs.specobjID  JOIN SpecObjAll as so ON so.specObjId = gs.specObjID    WHERE   h_alpha_eqw between # and #   and oii_#_eqw between # and #   and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #   and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-03-07 19:18:00,1
2019-03-07 19:25:00,1
2019-03-07 19:26:00,1
2019-03-07 19:35:00,1
2019-03-07 19:36:00,1
2019-03-07 19:37:00,1
2019-03-07 19:51:00,1
2019-03-07 19:52:00,1
2019-03-07 19:53:00,1
2019-03-07 19:54:00,1
2019-03-07 19:55:00,1
2019-03-07 19:56:00,1
2019-03-07 19:57:00,1
2019-03-07 19:58:00,1
2019-03-07 19:59:00,2
2019-03-07 20:00:00,1
2019-03-07 20:01:00,2
2019-03-07 20:02:00,2
2019-03-07 20:03:00,1
2019-03-07 20:04:00,1
2019-03-07 20:05:00,2
2019-03-07 20:06:00,1
2019-03-07 20:07:00,1
2019-03-07 20:08:00,1
2019-03-07 20:09:00,1
2019-03-07 20:10:00,1
2019-03-07 20:11:00,1
2019-03-07 20:13:00,1
2019-03-07 20:14:00,1
2019-03-07 20:15:00,1
2019-03-07 20:17:00,1
2019-03-07 20:19:00,1
2019-03-07 20:20:00,2
2019-03-07 20:23:00,1
2019-03-07 20:24:00,1
2019-03-07 20:25:00,2
2019-03-07 20:26:00,1
2019-03-07 20:27:00,2
2019-03-07 20:28:00,1
2019-03-07 20:29:00,1
2019-03-07 20:32:00,1
2019-03-07 20:33:00,1
2019-03-07 20:35:00,1
2019-03-07 20:37:00,2
2019-03-07 20:38:00,3
2019-03-07 20:39:00,2
2019-03-07 20:40:00,2
2019-03-07 20:42:00,1
2019-03-07 20:44:00,2
2019-03-07 20:46:00,1
2019-03-07 20:47:00,1
2019-03-07 20:48:00,2
2019-03-07 20:49:00,3
2019-03-07 20:50:00,2
2019-03-07 20:51:00,2
2019-03-07 20:52:00,3
2019-03-07 20:53:00,1
2019-03-07 20:54:00,3
2019-03-07 20:55:00,1
2019-03-07 20:56:00,2
2019-03-07 20:58:00,1
2019-03-07 20:59:00,1
2019-03-07 21:00:00,2
2019-03-07 21:01:00,2
2019-03-07 21:02:00,2
2019-03-07 21:03:00,2
2019-03-07 21:04:00,1
2019-03-07 21:05:00,2
2019-03-07 21:06:00,2
2019-03-07 21:08:00,1
2019-03-07 21:09:00,1
2019-03-07 21:10:00,1
2019-03-07 21:11:00,1
2019-03-07 21:12:00,1
2019-03-07 21:13:00,3
2019-03-07 21:14:00,2
2019-03-07 21:15:00,2
2019-03-07 22:27:00,1
2019-03-07 22:49:00,1
2019-03-07 22:50:00,2
2019-03-07 22:51:00,1
2019-03-07 22:55:00,1
2019-03-07 22:57:00,1
2019-03-07 22:58:00,1
2019-03-07 22:59:00,2
2019-03-07 23:00:00,1
2019-03-07 23:02:00,1
2019-03-07 23:07:00,1
2019-03-07 23:10:00,1
2019-03-07 23:11:00,2
2019-03-07 23:12:00,2
2019-03-07 23:13:00,4
2019-03-07 23:17:00,4
2019-03-07 23:18:00,5
2019-03-07 23:19:00,3
2019-03-07 23:20:00,2
2019-03-07 23:21:00,1
2019-03-07 23:22:00,1
2019-03-07 23:24:00,1
2019-03-07 23:25:00,1
2019-03-07 23:26:00,1
2019-03-07 23:27:00,1
2019-03-07 23:28:00,3
2019-03-07 23:29:00,3
2019-03-07 23:30:00,3
2019-03-07 23:31:00,2
2019-03-07 23:32:00,1
2019-03-07 23:33:00,2
2019-03-07 23:35:00,1
2019-03-07 23:37:00,2
2019-03-07 23:38:00,6
2019-03-07 23:39:00,2
