158,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-03-05 01:02:00,1
2019-03-05 02:59:00,1
2019-03-05 03:56:00,7
2019-03-05 03:59:00,1
2019-03-05 04:07:00,1
2019-03-05 04:43:00,9
2019-03-05 04:58:00,1
2019-03-05 05:58:00,1
2019-03-05 06:58:00,1
2019-03-05 07:03:00,3
2019-03-05 07:04:00,4
2019-03-05 07:56:00,1
2019-03-05 08:25:00,9
2019-03-05 08:52:00,9
2019-03-05 08:58:00,1
2019-03-05 09:02:00,9
2019-03-05 09:58:00,1
2019-03-05 10:14:00,1
2019-03-05 10:23:00,5
2019-03-05 10:24:00,4
2019-03-05 10:57:00,1
2019-03-05 11:20:00,1
2019-03-05 11:59:00,1
2019-03-05 12:42:00,9
2019-03-05 12:58:00,1
2019-03-05 13:02:00,8
2019-03-05 13:03:00,1
2019-03-05 13:05:00,9
2019-03-05 13:36:00,4
2019-03-05 13:37:00,5
2019-03-05 13:38:00,5
2019-03-05 13:55:00,1
2019-03-05 13:56:00,1
2019-03-05 13:59:00,1
2019-03-05 14:01:00,1
2019-03-05 14:05:00,1
2019-03-05 14:15:00,1
2019-03-05 14:58:00,1
2019-03-05 15:58:00,1
2019-03-05 16:58:00,1
2019-03-05 17:32:00,9
2019-03-05 17:57:00,1
2019-03-05 18:01:00,9
2019-03-05 18:04:00,14
2019-03-05 18:58:00,1
