406,"SELECT specObjID, dr7ObjID FROM SpecDR7 WHERE specobjid = #"
2019-04-24 00:01:00,2
2019-04-24 00:02:00,3
2019-04-24 00:03:00,2
2019-04-24 00:04:00,3
2019-04-24 00:05:00,1
2019-04-24 00:06:00,1
2019-04-24 00:07:00,4
2019-04-24 00:08:00,2
2019-04-24 00:09:00,2
2019-04-24 00:10:00,3
2019-04-24 00:11:00,3
2019-04-24 00:12:00,3
2019-04-24 00:13:00,3
2019-04-24 00:14:00,1
2019-04-24 00:15:00,1
2019-04-24 00:16:00,2
2019-04-24 00:17:00,2
2019-04-24 00:18:00,3
2019-04-24 00:19:00,3
2019-04-24 00:20:00,2
2019-04-24 00:21:00,2
2019-04-24 00:22:00,3
2019-04-24 00:23:00,3
2019-04-24 00:24:00,2
2019-04-24 00:25:00,2
2019-04-24 00:26:00,3
2019-04-24 00:27:00,3
2019-04-24 00:28:00,3
2019-04-24 00:29:00,3
2019-04-24 00:30:00,2
2019-04-24 00:31:00,1
2019-04-24 00:32:00,2
2019-04-24 00:33:00,3
2019-04-24 00:34:00,2
2019-04-24 00:35:00,3
2019-04-24 00:36:00,2
2019-04-24 00:37:00,3
2019-04-24 00:38:00,3
2019-04-24 00:39:00,3
2019-04-24 00:40:00,4
2019-04-24 00:41:00,3
2019-04-24 00:42:00,3
2019-04-24 00:43:00,2
2019-04-24 00:44:00,3
2019-04-24 00:45:00,2
2019-04-24 00:46:00,3
2019-04-24 00:47:00,3
2019-04-24 00:48:00,3
2019-04-24 00:49:00,3
2019-04-24 00:50:00,3
2019-04-24 00:51:00,4
2019-04-24 00:52:00,3
2019-04-24 00:53:00,2
2019-04-24 00:54:00,3
2019-04-24 00:55:00,3
2019-04-24 00:56:00,3
2019-04-24 00:57:00,4
2019-04-24 00:58:00,3
2019-04-24 00:59:00,3
2019-04-24 01:00:00,4
2019-04-24 01:01:00,2
2019-04-24 01:02:00,1
2019-04-24 01:04:00,2
2019-04-24 01:05:00,2
2019-04-24 01:06:00,3
2019-04-24 01:07:00,2
2019-04-24 01:08:00,3
2019-04-24 01:09:00,1
2019-04-24 01:10:00,4
2019-04-24 01:11:00,3
2019-04-24 01:12:00,3
2019-04-24 01:13:00,3
2019-04-24 01:14:00,3
2019-04-24 01:15:00,1
2019-04-24 02:43:00,1
2019-04-24 02:44:00,1
2019-04-24 02:45:00,1
2019-04-24 02:46:00,2
2019-04-24 02:47:00,2
2019-04-24 02:48:00,2
2019-04-24 04:51:00,1
2019-04-24 04:52:00,1
2019-04-24 04:53:00,3
2019-04-24 04:54:00,2
2019-04-24 04:55:00,2
2019-04-24 04:56:00,2
2019-04-24 04:57:00,2
2019-04-24 04:58:00,2
2019-04-24 04:59:00,2
2019-04-24 05:00:00,2
2019-04-24 05:01:00,3
2019-04-24 05:02:00,2
2019-04-24 05:03:00,2
2019-04-24 05:04:00,2
2019-04-24 05:05:00,2
2019-04-24 05:06:00,2
2019-04-24 05:07:00,3
2019-04-24 05:08:00,2
2019-04-24 05:09:00,2
2019-04-24 05:10:00,2
2019-04-24 05:11:00,2
2019-04-24 05:12:00,3
2019-04-24 05:13:00,2
2019-04-24 05:14:00,3
2019-04-24 05:15:00,1
2019-04-24 05:16:00,3
2019-04-24 05:17:00,2
2019-04-24 05:18:00,2
2019-04-24 05:19:00,2
2019-04-24 05:20:00,3
2019-04-24 05:21:00,1
2019-04-24 05:22:00,3
2019-04-24 05:23:00,3
2019-04-24 05:24:00,3
2019-04-24 05:25:00,2
2019-04-24 05:26:00,3
2019-04-24 05:27:00,1
2019-04-24 05:28:00,3
2019-04-24 05:29:00,2
2019-04-24 05:30:00,2
2019-04-24 05:31:00,2
2019-04-24 05:32:00,3
2019-04-24 05:33:00,2
2019-04-24 05:34:00,3
2019-04-24 05:35:00,2
2019-04-24 05:36:00,3
2019-04-24 05:37:00,1
2019-04-24 05:38:00,1
2019-04-24 05:39:00,1
2019-04-24 05:40:00,1
2019-04-24 05:41:00,1
2019-04-24 05:42:00,2
2019-04-24 05:43:00,3
2019-04-24 05:44:00,2
2019-04-24 05:45:00,1
2019-04-24 05:46:00,3
2019-04-24 05:47:00,2
2019-04-24 05:48:00,3
2019-04-24 05:49:00,1
2019-04-24 05:50:00,3
2019-04-24 05:51:00,1
2019-04-24 05:52:00,3
2019-04-24 05:53:00,2
2019-04-24 05:54:00,3
2019-04-24 05:55:00,2
2019-04-24 05:56:00,2
2019-04-24 05:57:00,2
2019-04-24 05:58:00,2
2019-04-24 05:59:00,3
2019-04-24 06:00:00,2
2019-04-24 06:01:00,3
2019-04-24 06:02:00,1
2019-04-24 06:03:00,2
2019-04-24 06:04:00,3
2019-04-24 06:05:00,1
2019-04-24 06:06:00,2
2019-04-24 06:07:00,3
2019-04-24 06:08:00,1
2019-04-24 06:09:00,2
2019-04-24 06:10:00,2
2019-04-24 06:11:00,2
2019-04-24 06:12:00,2
2019-04-24 06:13:00,2
2019-04-24 06:14:00,2
2019-04-24 06:15:00,3
2019-04-24 06:16:00,2
2019-04-24 06:17:00,1
2019-04-24 06:18:00,3
2019-04-24 06:19:00,1
2019-04-24 06:20:00,3
2019-04-24 06:21:00,2
2019-04-24 06:22:00,2
2019-04-24 06:23:00,2
2019-04-24 06:24:00,1
2019-04-24 06:25:00,3
2019-04-24 06:26:00,2
2019-04-24 06:27:00,2
2019-04-24 06:29:00,2
