90,"SELECT TOP #  p.run, p.rerun, p.camcol, p.field  FROM PhotoObjDR7 AS p  WHERE p.dr7objid=#"
2019-01-01 00:41:00,1
2019-01-01 01:33:00,1
2019-01-01 01:59:00,1
2019-01-01 02:00:00,1
2019-01-01 03:22:00,1
2019-01-01 03:23:00,4
2019-01-01 04:32:00,1
2019-01-01 04:34:00,1
2019-01-01 04:35:00,1
2019-01-01 04:44:00,1
2019-01-01 04:45:00,1
2019-01-01 04:48:00,2
2019-01-01 06:31:00,1
2019-01-01 06:51:00,1
2019-01-01 07:11:00,1
2019-01-01 07:27:00,2
2019-01-01 07:28:00,1
2019-01-01 07:41:00,1
2019-01-01 07:43:00,1
2019-01-01 08:14:00,1
2019-01-01 08:35:00,1
2019-01-01 08:50:00,1
2019-01-01 09:04:00,1
2019-01-01 09:15:00,1
2019-01-01 09:58:00,1
2019-01-01 10:21:00,1
2019-01-01 10:23:00,1
2019-01-01 10:27:00,1
2019-01-01 10:28:00,1
2019-01-01 10:39:00,1
2019-01-01 10:46:00,1
2019-01-01 10:55:00,1
2019-01-01 10:58:00,1
2019-01-01 11:03:00,1
2019-01-01 11:04:00,1
2019-01-01 11:06:00,2
2019-01-01 11:07:00,1
2019-01-01 11:14:00,1
2019-01-01 11:15:00,1
2019-01-01 11:17:00,1
2019-01-01 11:22:00,1
2019-01-01 11:23:00,1
2019-01-01 11:25:00,1
2019-01-01 11:26:00,2
2019-01-01 11:32:00,2
2019-01-01 11:34:00,1
2019-01-01 11:35:00,1
2019-01-01 11:42:00,2
2019-01-01 11:47:00,1
2019-01-01 11:55:00,1
2019-01-01 11:56:00,1
2019-01-01 11:58:00,1
2019-01-01 12:04:00,1
2019-01-01 12:13:00,1
2019-01-01 12:19:00,1
2019-01-01 12:20:00,1
2019-01-01 12:25:00,1
2019-01-01 12:27:00,1
2019-01-01 12:30:00,1
2019-01-01 12:31:00,1
2019-01-01 12:36:00,2
2019-01-01 12:48:00,1
2019-01-01 12:56:00,1
2019-01-01 13:03:00,1
2019-01-01 13:40:00,1
2019-01-01 13:42:00,1
2019-01-01 13:43:00,1
2019-01-01 14:02:00,1
2019-01-01 15:02:00,1
2019-01-01 15:59:00,1
2019-01-01 16:00:00,1
2019-01-01 17:14:00,1
2019-01-01 17:35:00,1
2019-01-01 18:57:00,1
2019-01-01 19:25:00,1
2019-01-01 19:31:00,1
2019-01-01 20:18:00,1
2019-01-01 21:24:00,1
2019-01-01 21:37:00,1
2019-01-01 22:41:00,1
