20,"INSERT INTO [ASSETS] VALUES(#, &&&, NULL, &&&, #, NULL, NULL, &&&, &&&, #, NULL, &&&, &&&, &&&, &&&, NULL, NULL, &&&, &&&, &&&, &&&, &&&, NULL, NULL, NULL, &&&, #, #, NULL, NULL, #, #, &&&, NULL, NULL, NULL, NULL, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 11:49:00,1
2019-11-30 11:52:00,2
2019-11-30 11:53:00,2
2019-11-30 12:04:00,1
2019-11-30 12:05:00,2
2019-11-30 14:07:00,1
2019-11-30 14:09:00,1
2019-11-30 14:10:00,2
2019-11-30 14:44:00,1
2019-11-30 14:47:00,2
2019-11-30 14:48:00,2
2019-11-30 14:58:00,1
2019-11-30 14:59:00,2
