22,"INSERT INTO [ASSETS] VALUES(#, &&&, &&&, &&&, #, NULL, NULL, &&&, &&&, #, NULL, &&&, &&&, &&&, &&&, NULL, NULL, &&&, &&&, &&&, &&&, &&&, NULL, NULL, NULL, &&&, #, #, #, NULL, #, #, &&&, NULL, NULL, NULL, NULL, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 11:49:00,1
2019-11-30 11:51:00,2
2019-11-30 11:52:00,1
2019-11-30 11:54:00,1
2019-11-30 12:02:00,1
2019-11-30 12:03:00,2
2019-11-30 12:04:00,1
2019-11-30 14:06:00,1
2019-11-30 14:08:00,1
2019-11-30 14:09:00,1
2019-11-30 14:10:00,1
2019-11-30 14:44:00,1
2019-11-30 14:45:00,1
2019-11-30 14:46:00,1
2019-11-30 14:47:00,1
2019-11-30 14:49:00,1
2019-11-30 14:57:00,1
2019-11-30 14:58:00,2
2019-11-30 14:59:00,1
