35,"INSERT INTO [ASSETS] VALUES(#, &&&, &&&, &&&, #, NULL, NULL, &&&, &&&, #, NULL, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, NULL, NULL, NULL, &&&, #, #, #, NULL, #, NULL, &&&, &&&, NULL, NULL, &&&, &&&, &&&, NULL, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 11:50:00,5
2019-11-30 11:52:00,2
2019-11-30 11:55:00,1
2019-11-30 12:02:00,3
2019-11-30 12:03:00,1
2019-11-30 12:04:00,1
2019-11-30 12:06:00,1
2019-11-30 14:07:00,2
2019-11-30 14:08:00,3
2019-11-30 14:10:00,2
2019-11-30 14:45:00,5
2019-11-30 14:47:00,2
2019-11-30 14:49:00,1
2019-11-30 14:56:00,2
2019-11-30 14:57:00,1
2019-11-30 14:58:00,2
2019-11-30 15:00:00,1
