91,"SELECT S.objID, S.ra, S.dec, S.u, S.g, S.r, S.i, S.z, S.err_u, S.err_g, S.err_r, S.err_i, S.err_z   FROM Star as S   JOIN dbo.fGetNearbyObjEq(#, #, #) as SN   on S.objID = SN.objID   WHERE     ((S.flags_r & #) != #)     AND ((S.flags_r & #) = #)       AND (((S.flags_r & #) = #) or (S.psfmagerr_r <= #))       AND (((S.flags_r & #) = #) or (S.flags_r & #) = #)       AND ((S.flags_g & #) != #)     AND ((S.flags_g & #) = #)       AND (((S.flags_g & #) = #) or (S.psfmagerr_g <= #))       AND (((S.flags_g & #) = #) or (S.flags_g & #) = #)       AND ((S.flags_i & #) != #)     AND ((S.flags_i & #) = #)       AND (((S.flags_i & #) = #) or (S.psfmagerr_i <= #))       AND (((S.flags_i & #) = #) or (S.flags_i & #) = #)"
2019-05-28 12:42:00,2
2019-05-28 12:47:00,2
2019-05-28 12:52:00,1
2019-05-28 12:53:00,1
2019-05-28 12:59:00,1
2019-05-28 13:06:00,1
2019-05-28 13:08:00,1
2019-05-28 13:09:00,1
2019-05-28 13:10:00,1
2019-05-28 13:21:00,1
2019-05-28 13:23:00,1
2019-05-28 13:25:00,1
2019-05-28 13:27:00,1
2019-05-28 13:30:00,1
2019-05-28 13:44:00,2
2019-05-28 13:47:00,1
2019-05-28 13:51:00,1
2019-05-28 13:53:00,1
2019-05-28 13:57:00,1
2019-05-28 13:59:00,1
2019-05-28 14:01:00,1
2019-05-28 14:06:00,1
2019-05-28 14:10:00,1
2019-05-28 14:12:00,1
2019-05-28 14:14:00,1
2019-05-28 14:16:00,1
2019-05-28 14:19:00,3
2019-05-28 14:32:00,1
2019-05-28 14:43:00,1
2019-05-28 14:53:00,1
2019-05-28 15:15:00,1
2019-05-28 15:16:00,1
2019-05-28 15:17:00,1
2019-05-28 15:21:00,2
2019-05-28 15:24:00,1
2019-05-28 15:30:00,1
2019-05-28 15:35:00,2
2019-05-28 15:44:00,1
2019-05-28 15:45:00,1
2019-05-28 15:52:00,1
2019-05-28 15:57:00,2
2019-05-28 15:58:00,1
2019-05-28 16:08:00,1
2019-05-28 16:13:00,1
2019-05-28 16:16:00,1
2019-05-28 16:25:00,1
2019-05-28 16:30:00,1
2019-05-28 16:38:00,1
2019-05-28 16:40:00,1
2019-05-28 16:45:00,1
2019-05-28 16:49:00,1
2019-05-28 16:51:00,1
2019-05-28 16:56:00,2
2019-05-28 17:05:00,1
2019-05-28 17:13:00,1
2019-05-28 17:16:00,1
2019-05-28 17:20:00,1
2019-05-28 17:22:00,1
2019-05-28 17:25:00,1
2019-05-28 17:28:00,2
2019-05-28 17:30:00,1
2019-05-28 17:34:00,1
2019-05-28 17:36:00,1
2019-05-28 17:45:00,1
2019-05-28 17:46:00,1
2019-05-28 17:47:00,2
2019-05-28 17:48:00,2
2019-05-28 17:55:00,1
2019-05-28 18:02:00,1
2019-05-28 18:06:00,1
2019-05-28 18:09:00,1
2019-05-28 18:20:00,1
2019-05-28 18:27:00,1
2019-05-28 18:38:00,1
2019-05-28 18:47:00,1
2019-05-28 19:04:00,1
2019-05-28 19:10:00,1
2019-05-28 19:21:00,1
2019-05-28 19:39:00,1
