4553,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-05-28 00:01:00,2
2019-05-28 00:02:00,7
2019-05-28 00:04:00,3
2019-05-28 00:05:00,3
2019-05-28 00:06:00,1
2019-05-28 00:09:00,7
2019-05-28 00:11:00,11
2019-05-28 00:12:00,11
2019-05-28 00:14:00,3
2019-05-28 00:15:00,3
2019-05-28 00:16:00,1
2019-05-28 00:19:00,2
2019-05-28 00:21:00,2
2019-05-28 00:22:00,7
2019-05-28 00:24:00,3
2019-05-28 00:25:00,3
2019-05-28 00:26:00,1
2019-05-28 00:29:00,2
2019-05-28 00:31:00,2
2019-05-28 00:32:00,7
2019-05-28 00:34:00,5
2019-05-28 00:35:00,3
2019-05-28 00:36:00,1
2019-05-28 00:39:00,6
2019-05-28 00:41:00,2
2019-05-28 00:42:00,7
2019-05-28 00:44:00,7
2019-05-28 00:45:00,7
2019-05-28 00:46:00,1
2019-05-28 00:49:00,6
2019-05-28 00:51:00,2
2019-05-28 00:52:00,7
2019-05-28 00:54:00,3
2019-05-28 00:55:00,3
2019-05-28 00:56:00,6
2019-05-28 00:59:00,2
2019-05-28 01:01:00,2
2019-05-28 01:02:00,7
2019-05-28 01:04:00,3
2019-05-28 01:05:00,3
2019-05-28 01:06:00,1
2019-05-28 01:09:00,2
2019-05-28 01:11:00,2
2019-05-28 01:12:00,7
2019-05-28 01:14:00,3
2019-05-28 01:15:00,3
2019-05-28 01:16:00,1
2019-05-28 01:19:00,2
2019-05-28 01:21:00,2
2019-05-28 01:24:00,3
2019-05-28 01:25:00,3
2019-05-28 01:26:00,1
2019-05-28 01:29:00,2
2019-05-28 01:31:00,2
2019-05-28 01:32:00,7
2019-05-28 01:34:00,5
2019-05-28 01:35:00,3
2019-05-28 01:36:00,1
2019-05-28 01:39:00,2
2019-05-28 01:41:00,2
2019-05-28 01:42:00,7
2019-05-28 01:44:00,3
2019-05-28 01:45:00,5
2019-05-28 01:46:00,3
2019-05-28 01:49:00,2
2019-05-28 01:51:00,2
2019-05-28 01:52:00,7
2019-05-28 01:54:00,3
2019-05-28 01:55:00,3
2019-05-28 01:56:00,6
2019-05-28 01:59:00,2
2019-05-28 02:01:00,2
2019-05-28 02:02:00,7
2019-05-28 02:04:00,3
2019-05-28 02:05:00,3
2019-05-28 02:06:00,1
2019-05-28 02:09:00,2
2019-05-28 02:11:00,2
2019-05-28 02:12:00,7
2019-05-28 02:14:00,3
2019-05-28 02:15:00,3
2019-05-28 02:16:00,1
2019-05-28 02:19:00,2
2019-05-28 02:21:00,2
2019-05-28 02:22:00,7
2019-05-28 02:24:00,3
2019-05-28 02:25:00,3
2019-05-28 02:26:00,1
2019-05-28 02:29:00,3
2019-05-28 02:31:00,2
2019-05-28 02:32:00,7
2019-05-28 02:34:00,5
2019-05-28 02:35:00,3
2019-05-28 02:36:00,1
2019-05-28 02:39:00,3
2019-05-28 02:41:00,2
2019-05-28 02:42:00,7
2019-05-28 02:44:00,3
2019-05-28 02:45:00,7
2019-05-28 02:46:00,1
2019-05-28 02:49:00,2
2019-05-28 02:51:00,2
2019-05-28 02:52:00,7
2019-05-28 02:54:00,3
2019-05-28 02:55:00,5
2019-05-28 02:56:00,4
2019-05-28 02:59:00,2
2019-05-28 03:01:00,2
2019-05-28 03:02:00,7
2019-05-28 03:04:00,3
2019-05-28 03:05:00,3
2019-05-28 03:06:00,1
2019-05-28 03:09:00,2
2019-05-28 03:11:00,7
