13,"SELECT objID, ra, dec, psfmag_u, psfmag_g, psfmag_r, psfmag_i, psfmag_z FROM photoObj WHERE (ra between (#) AND (#) OR ra BETWEEN (#) AND (#) OR ra BETWEEN (#) AND (#)) AND dec BETWEEN (#) AND (#) AND clean = # AND (calibStatus_r & #) != #"
2019-05-28 08:54:00,1
2019-05-28 10:45:00,1
2019-05-28 12:23:00,1
2019-05-28 12:46:00,1
2019-05-28 15:34:00,1
2019-05-28 16:03:00,1
2019-05-28 16:04:00,1
2019-05-28 16:05:00,1
2019-05-28 16:10:00,1
2019-05-28 16:11:00,1
2019-05-28 16:21:00,1
2019-05-28 16:22:00,1
2019-05-28 16:38:00,1
