1444,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-04-15 06:12:00,5
2019-04-15 06:13:00,5
2019-04-15 06:14:00,5
2019-04-15 06:15:00,2
2019-04-15 08:31:00,1
2019-04-15 08:32:00,1
2019-04-15 08:33:00,1
2019-04-15 08:34:00,1
2019-04-15 08:36:00,2
2019-04-15 08:37:00,1
2019-04-15 08:38:00,1
2019-04-15 08:39:00,1
2019-04-15 08:40:00,1
2019-04-15 08:41:00,1
2019-04-15 08:42:00,1
2019-04-15 09:14:00,2
2019-04-15 09:15:00,3
2019-04-15 09:16:00,2
2019-04-15 09:17:00,3
2019-04-15 09:18:00,3
2019-04-15 09:19:00,2
2019-04-15 09:20:00,3
2019-04-15 09:21:00,2
2019-04-15 09:22:00,3
2019-04-15 09:23:00,2
2019-04-15 17:18:00,1
2019-04-15 17:19:00,2
2019-04-15 17:20:00,2
2019-04-15 17:21:00,3
2019-04-15 17:22:00,2
2019-04-15 17:23:00,3
2019-04-15 17:24:00,1
2019-04-15 18:12:00,1
2019-04-15 18:13:00,3
2019-04-15 18:14:00,2
2019-04-15 18:15:00,3
2019-04-15 18:16:00,2
2019-04-15 18:17:00,3
2019-04-15 18:18:00,2
2019-04-15 18:19:00,2
2019-04-15 18:20:00,3
2019-04-15 18:21:00,3
2019-04-15 18:22:00,2
2019-04-15 18:23:00,3
2019-04-15 18:24:00,2
2019-04-15 18:25:00,3
2019-04-15 18:26:00,3
2019-04-15 18:27:00,2
2019-04-15 18:28:00,3
2019-04-15 18:29:00,3
2019-04-15 18:30:00,3
2019-04-15 18:31:00,2
2019-04-15 18:32:00,2
2019-04-15 18:33:00,3
2019-04-15 18:34:00,2
2019-04-15 18:35:00,3
2019-04-15 18:36:00,3
2019-04-15 18:37:00,2
2019-04-15 18:38:00,3
2019-04-15 18:39:00,2
2019-04-15 18:40:00,3
2019-04-15 18:41:00,2
2019-04-15 18:42:00,3
2019-04-15 18:43:00,3
2019-04-15 18:44:00,2
2019-04-15 18:45:00,3
2019-04-15 18:46:00,3
2019-04-15 18:47:00,2
2019-04-15 18:48:00,2
2019-04-15 18:49:00,3
2019-04-15 18:50:00,3
2019-04-15 18:51:00,2
2019-04-15 18:53:00,2
2019-04-15 18:54:00,2
2019-04-15 18:55:00,3
2019-04-15 18:56:00,2
2019-04-15 18:57:00,3
2019-04-15 18:58:00,3
2019-04-15 18:59:00,2
2019-04-15 19:00:00,3
2019-04-15 19:01:00,2
2019-04-15 19:02:00,3
2019-04-15 19:03:00,3
2019-04-15 19:04:00,2
2019-04-15 19:05:00,2
2019-04-15 19:06:00,3
2019-04-15 19:07:00,2
2019-04-15 19:08:00,3
2019-04-15 19:09:00,2
2019-04-15 19:10:00,2
2019-04-15 19:11:00,3
2019-04-15 19:12:00,2
2019-04-15 19:13:00,3
2019-04-15 19:14:00,2
2019-04-15 19:15:00,3
2019-04-15 19:16:00,2
2019-04-15 19:17:00,2
2019-04-15 19:18:00,3
2019-04-15 19:19:00,2
2019-04-15 19:20:00,2
2019-04-15 19:21:00,3
2019-04-15 19:22:00,2
2019-04-15 19:23:00,3
2019-04-15 19:24:00,2
2019-04-15 19:25:00,3
2019-04-15 19:26:00,2
2019-04-15 19:27:00,3
2019-04-15 19:28:00,2
2019-04-15 19:29:00,3
2019-04-15 19:30:00,2
2019-04-15 19:31:00,3
2019-04-15 19:32:00,3
2019-04-15 19:33:00,2
2019-04-15 19:34:00,2
2019-04-15 19:35:00,3
2019-04-15 19:36:00,3
2019-04-15 19:37:00,3
2019-04-15 19:38:00,3
2019-04-15 19:39:00,3
2019-04-15 19:40:00,2
2019-04-15 19:41:00,1
