35,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-07-26 00:49:00,1
2019-07-26 00:50:00,1
2019-07-26 00:56:00,2
2019-07-26 00:58:00,1
2019-07-26 01:00:00,1
2019-07-26 01:03:00,1
2019-07-26 01:06:00,1
2019-07-26 01:08:00,1
2019-07-26 01:10:00,1
2019-07-26 01:15:00,1
2019-07-26 01:19:00,1
2019-07-26 01:25:00,1
2019-07-26 01:26:00,1
2019-07-26 01:32:00,1
2019-07-26 01:40:00,1
2019-07-26 01:50:00,1
2019-07-26 02:00:00,1
2019-07-26 02:01:00,1
2019-07-26 02:07:00,1
2019-07-26 02:08:00,1
2019-07-26 02:18:00,1
2019-07-26 02:24:00,2
2019-07-26 02:27:00,1
2019-07-26 02:30:00,2
2019-07-26 02:33:00,2
2019-07-26 02:35:00,1
2019-07-26 02:37:00,1
2019-07-26 02:45:00,1
2019-07-26 02:46:00,1
2019-07-26 02:54:00,1
2019-07-26 02:55:00,1
