18,"SELECT objID, run, psfMag_u, psfMag_g, psfMag_r, extinction_u, extinction_g, extinction_r, psfMagErr_u, psfMagErr_g, psfMagErr_r, l, b  from Star  WHERE (l >= #  AND l < #  AND ((b > # AND b < #)   OR (b < # AND b > #))   AND ((psfMag_g - extinction_g) - (psfMag_r - extinction_r)) > #   AND ((psfMag_g - extinction_g) - (psfMag_r - extinction_r)) < #   AND ((psfMag_u - extinction_u) - (psfMag_g - extinction_g)) > #)"
2019-04-07 15:18:00,1
2019-04-07 15:22:00,1
2019-04-07 15:26:00,1
2019-04-07 15:32:00,1
2019-04-07 15:35:00,1
2019-04-07 15:37:00,1
2019-04-07 15:44:00,1
2019-04-07 15:49:00,1
2019-04-07 15:53:00,1
2019-04-07 15:57:00,1
2019-04-07 16:02:00,1
2019-04-07 16:05:00,1
2019-04-07 16:12:00,1
2019-04-07 16:21:00,1
2019-04-07 16:22:00,1
2019-04-07 16:37:00,1
2019-04-07 17:07:00,1
2019-04-07 17:10:00,1
