83,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-09-02 00:45:00,1
2019-09-02 01:46:00,1
2019-09-02 02:45:00,1
2019-09-02 03:45:00,1
2019-09-02 04:38:00,9
2019-09-02 04:46:00,1
2019-09-02 05:45:00,1
2019-09-02 06:45:00,1
2019-09-02 07:03:00,8
2019-09-02 07:04:00,1
2019-09-02 07:45:00,1
2019-09-02 07:51:00,9
2019-09-02 08:46:00,1
2019-09-02 09:45:00,1
2019-09-02 10:45:00,1
2019-09-02 11:45:00,1
2019-09-02 12:46:00,1
2019-09-02 13:44:00,1
2019-09-02 14:44:00,1
2019-09-02 15:45:00,1
2019-09-02 15:52:00,9
2019-09-02 16:20:00,9
2019-09-02 16:45:00,1
2019-09-02 16:49:00,9
2019-09-02 17:02:00,9
2019-09-02 17:44:00,1
2019-09-02 18:45:00,1
2019-09-02 19:45:00,1
