30,"select a.visit_id, a.plate, a.mjd, a.fiberid, dbo.fMjdToGMT(a.mjd) as string, a.vrel, b.apogee_id from apogeeVisit a, dbo.fGetNearestApogeeStarEq(#,#,#) b where a.apogee_id=b.apogee_id order by mjd"
2019-04-25 12:44:00,1
2019-04-25 13:01:00,2
2019-04-25 13:04:00,1
2019-04-25 13:35:00,1
2019-04-25 13:39:00,1
2019-04-25 13:42:00,1
2019-04-25 13:44:00,1
2019-04-25 13:45:00,1
2019-04-25 13:48:00,2
2019-04-25 13:49:00,1
2019-04-25 13:52:00,1
2019-04-25 13:53:00,1
2019-04-25 14:25:00,2
2019-04-25 14:38:00,2
2019-04-25 14:41:00,5
2019-04-25 14:42:00,6
2019-04-25 15:07:00,1
