144,select * from galSpecIndx where specObjId=#
2019-02-26 04:40:00,1
2019-02-26 09:49:00,1
2019-02-26 10:56:00,1
2019-02-26 10:57:00,1
2019-02-26 12:02:00,2
2019-02-26 14:32:00,1
2019-02-26 15:03:00,3
2019-02-26 15:04:00,2
2019-02-26 15:29:00,3
2019-02-26 15:30:00,7
2019-02-26 15:31:00,5
2019-02-26 15:45:00,4
2019-02-26 15:46:00,6
2019-02-26 15:47:00,10
2019-02-26 16:20:00,6
2019-02-26 16:21:00,4
2019-02-26 16:22:00,7
2019-02-26 16:23:00,7
2019-02-26 16:24:00,3
2019-02-26 16:32:00,1
2019-02-26 16:46:00,3
2019-02-26 16:47:00,5
2019-02-26 16:48:00,7
2019-02-26 16:49:00,2
2019-02-26 16:50:00,2
2019-02-26 17:24:00,3
2019-02-26 17:25:00,4
2019-02-26 17:26:00,5
2019-02-26 18:10:00,1
2019-02-26 18:11:00,5
2019-02-26 19:55:00,2
2019-02-26 19:56:00,3
2019-02-26 19:57:00,2
2019-02-26 20:24:00,1
2019-02-26 20:25:00,9
2019-02-26 20:26:00,1
2019-02-26 20:27:00,3
2019-02-26 20:43:00,1
2019-02-26 20:48:00,1
2019-02-26 20:50:00,1
2019-02-26 21:37:00,5
2019-02-26 21:38:00,2
2019-02-26 22:33:00,1
