815,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-02-26 17:02:00,6
2019-02-26 17:03:00,67
2019-02-26 17:04:00,59
2019-02-26 17:15:00,1
2019-02-26 17:17:00,13
2019-02-26 17:23:00,2
2019-02-26 17:24:00,1
2019-02-26 17:26:00,6
2019-02-26 17:27:00,13
2019-02-26 17:28:00,2
2019-02-26 17:29:00,3
2019-02-26 17:35:00,1
2019-02-26 17:36:00,2
2019-02-26 17:37:00,3
2019-02-26 17:44:00,4
2019-02-26 17:47:00,30
2019-02-26 17:48:00,90
2019-02-26 17:59:00,23
2019-02-26 18:20:00,5
2019-02-26 18:21:00,1
2019-02-26 18:41:00,1
2019-02-26 18:49:00,7
2019-02-26 18:50:00,3
2019-02-26 18:56:00,5
2019-02-26 19:31:00,8
2019-02-26 19:32:00,5
2019-02-26 19:34:00,10
2019-02-26 19:58:00,1
2019-02-26 19:59:00,7
2019-02-26 20:00:00,12
2019-02-26 20:04:00,1
2019-02-26 20:05:00,1
2019-02-26 20:09:00,16
2019-02-26 20:10:00,36
2019-02-26 20:16:00,1
2019-02-26 20:20:00,2
2019-02-26 21:10:00,1
2019-02-26 21:52:00,2
2019-02-26 21:53:00,1
2019-02-26 21:54:00,3
2019-02-26 21:55:00,5
2019-02-26 21:56:00,7
2019-02-26 21:59:00,2
2019-02-26 22:00:00,1
2019-02-26 22:05:00,12
2019-02-26 22:06:00,6
2019-02-26 22:28:00,1
2019-02-26 22:33:00,4
2019-02-26 22:34:00,20
2019-02-26 22:35:00,32
2019-02-26 23:03:00,6
2019-02-26 23:05:00,1
2019-02-26 23:06:00,5
2019-02-26 23:07:00,7
2019-02-26 23:08:00,13
2019-02-26 23:09:00,5
2019-02-26 23:10:00,29
2019-02-26 23:11:00,36
2019-02-26 23:12:00,2
2019-02-26 23:13:00,1
2019-02-26 23:14:00,5
2019-02-26 23:15:00,8
2019-02-26 23:16:00,7
2019-02-26 23:17:00,11
2019-02-26 23:18:00,8
2019-02-26 23:19:00,19
2019-02-26 23:23:00,2
2019-02-26 23:24:00,9
2019-02-26 23:25:00,20
2019-02-26 23:26:00,18
2019-02-26 23:27:00,32
2019-02-26 23:28:00,1
2019-02-26 23:32:00,1
2019-02-26 23:33:00,4
2019-02-26 23:36:00,3
2019-02-26 23:37:00,4
2019-02-26 23:38:00,2
2019-02-26 23:39:00,2
2019-02-26 23:43:00,1
2019-02-26 23:44:00,2
2019-02-26 23:50:00,3
2019-02-26 23:56:00,3
