22,"CREATE TABLE CMASS_S_cmassref_matches_batch_#(cmassref_count_index int, cmass_count_index int, cmass_redshift float, cmassref_RA float, cmassref_Dec float, cmassref_pumag float, cmassref_pgmag float, cmassref_prmag float, cmassref_pimag float, cmassref_pzmag float, cmassref_uextinct float, cmassref_gextinct float, cmassref_rextinct float, cmassref_iextinct float, cmassref_zextinct  float, cmassref_realz float, gal_ra float, gal_dec float, gal_cmodel_u float, gal_cmodel_g float, gal_cmodel_r float, gal_cmodel_i float, gal_cmodel_z float, gal_cmodel_uerr float, gal_cmodel_gerr float, gal_cmodel_rerr float, gal_cmodel_ierr float, gal_cmodel_zerr float, gal_extinction_u float, gal_extinction_g float, gal_extinction_r float, gal_extinction_i float, gal_extinction_z float, gal_airmass_u float, gal_airmass_g float, gal_airmass_r float, gal_airmass_i float, gal_airmass_z float)"
2019-06-14 13:26:00,1
2019-06-14 13:45:00,1
2019-06-14 14:03:00,1
2019-06-14 14:19:00,1
2019-06-14 14:20:00,1
2019-06-14 14:44:00,1
2019-06-14 15:00:00,1
2019-06-14 15:17:00,1
2019-06-14 15:35:00,1
2019-06-14 15:53:00,1
2019-06-14 16:12:00,1
2019-06-14 16:30:00,1
2019-06-14 16:50:00,1
2019-06-14 17:13:00,1
2019-06-14 17:33:00,1
2019-06-14 17:54:00,1
2019-06-14 18:12:00,1
2019-06-14 18:28:00,1
2019-06-14 18:46:00,1
2019-06-14 19:06:00,1
2019-06-14 19:29:00,1
2019-06-14 19:45:00,1
