930,select fieldid from field where cccol_u between # and # and skyframes_r between # and # and expapcorrectionerr_r between .# and #
2019-01-28 18:00:00,6
2019-01-28 18:01:00,76
2019-01-28 18:08:00,4
2019-01-28 18:09:00,10
2019-01-28 18:10:00,8
2019-01-28 18:11:00,10
2019-01-28 18:12:00,8
2019-01-28 18:13:00,16
2019-01-28 18:14:00,20
2019-01-28 18:15:00,12
2019-01-28 18:16:00,6
2019-01-28 18:17:00,7
2019-01-28 18:18:00,15
2019-01-28 18:19:00,7
2019-01-28 18:21:00,4
2019-01-28 18:22:00,26
2019-01-28 18:23:00,13
2019-01-28 18:24:00,11
2019-01-28 18:25:00,10
2019-01-28 18:26:00,12
2019-01-28 18:27:00,2
2019-01-28 18:28:00,3
2019-01-28 18:29:00,11
2019-01-28 18:30:00,19
2019-01-28 18:31:00,18
2019-01-28 18:32:00,13
2019-01-28 18:33:00,9
2019-01-28 18:34:00,14
2019-01-28 18:35:00,15
2019-01-28 18:36:00,7
2019-01-28 18:39:00,10
2019-01-28 18:40:00,13
2019-01-28 18:41:00,15
2019-01-28 18:42:00,10
2019-01-28 18:43:00,5
2019-01-28 18:44:00,7
2019-01-28 18:45:00,8
2019-01-28 18:46:00,14
2019-01-28 18:47:00,19
2019-01-28 18:48:00,20
2019-01-28 18:49:00,12
2019-01-28 18:50:00,24
2019-01-28 18:51:00,20
2019-01-28 18:52:00,18
2019-01-28 18:53:00,14
2019-01-28 18:54:00,9
2019-01-28 18:55:00,21
2019-01-28 18:56:00,13
2019-01-28 18:57:00,24
2019-01-28 18:58:00,14
2019-01-28 18:59:00,8
2019-01-28 19:00:00,13
2019-01-28 19:01:00,26
2019-01-28 19:02:00,11
2019-01-28 19:03:00,7
2019-01-28 19:04:00,12
2019-01-28 19:05:00,22
2019-01-28 19:06:00,13
2019-01-28 19:07:00,12
2019-01-28 19:08:00,23
2019-01-28 19:09:00,19
2019-01-28 19:10:00,18
2019-01-28 19:11:00,14
2019-01-28 19:12:00,17
2019-01-28 19:13:00,26
2019-01-28 19:14:00,7
