53,"select or (#,#)=(select*from(select name_const(CHAR(#,#,#,#,#,#,#,#,#),#),name_const(CHAR(#,#,#,#,#,#,#,#,#),#))a) -- and #=#"
2019-07-08 01:45:00,1
2019-07-08 02:35:00,1
2019-07-08 03:02:00,1
2019-07-08 03:19:00,1
2019-07-08 03:33:00,1
2019-07-08 03:44:00,1
2019-07-08 03:54:00,1
2019-07-08 05:25:00,1
2019-07-08 05:58:00,1
2019-07-08 06:06:00,1
2019-07-08 06:14:00,1
2019-07-08 06:21:00,1
2019-07-08 06:29:00,1
2019-07-08 06:43:00,1
2019-07-08 07:11:00,1
2019-07-08 07:19:00,1
2019-07-08 07:32:00,1
2019-07-08 07:40:00,1
2019-07-08 07:46:00,1
2019-07-08 07:53:00,1
2019-07-08 08:06:00,1
2019-07-08 08:12:00,1
2019-07-08 08:18:00,1
2019-07-08 08:32:00,1
2019-07-08 08:37:00,1
2019-07-08 08:43:00,1
2019-07-08 08:55:00,1
2019-07-08 09:01:00,1
2019-07-08 09:07:00,1
2019-07-08 09:13:00,1
2019-07-08 09:19:00,1
2019-07-08 09:31:00,1
2019-07-08 09:38:00,1
2019-07-08 09:43:00,1
2019-07-08 09:48:00,1
2019-07-08 09:54:00,1
2019-07-08 10:24:00,1
2019-07-08 10:29:00,1
2019-07-08 10:39:00,1
2019-07-08 10:44:00,1
2019-07-08 10:59:00,1
2019-07-08 11:04:00,1
2019-07-08 11:14:00,1
2019-07-08 11:19:00,1
2019-07-08 11:24:00,1
2019-07-08 11:29:00,1
2019-07-08 11:40:00,1
2019-07-08 11:55:00,1
2019-07-08 11:59:00,1
2019-07-08 12:04:00,1
2019-07-08 12:09:00,1
2019-07-08 12:14:00,1
2019-07-08 12:19:00,1
