2249,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff,  s.elodieLogG, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-11-05 11:57:00,22
2019-11-05 11:58:00,20
2019-11-05 12:00:00,2
2019-11-05 12:01:00,34
2019-11-05 12:02:00,39
2019-11-05 12:03:00,38
2019-11-05 12:04:00,39
2019-11-05 12:05:00,39
2019-11-05 12:06:00,39
2019-11-05 12:07:00,26
2019-11-05 12:09:00,9
2019-11-05 12:11:00,19
2019-11-05 12:12:00,3
2019-11-05 12:13:00,16
2019-11-05 12:23:00,6
2019-11-05 12:24:00,13
2019-11-05 12:36:00,21
2019-11-05 12:37:00,7
2019-11-05 12:38:00,9
2019-11-05 12:39:00,19
2019-11-05 13:35:00,3
2019-11-05 13:36:00,6
2019-11-05 13:49:00,19
2019-11-05 13:51:00,16
2019-11-05 13:52:00,3
2019-11-05 13:53:00,5
2019-11-05 13:54:00,22
2019-11-05 13:55:00,11
2019-11-05 13:56:00,19
2019-11-05 13:57:00,19
2019-11-05 14:01:00,19
2019-11-05 14:10:00,17
2019-11-05 14:11:00,21
2019-11-05 14:12:00,19
2019-11-05 14:15:00,4
2019-11-05 14:16:00,15
2019-11-05 14:26:00,18
2019-11-05 14:27:00,39
2019-11-05 14:28:00,38
2019-11-05 14:38:00,9
2019-11-05 14:39:00,23
2019-11-05 14:40:00,6
2019-11-05 14:41:00,19
2019-11-05 14:48:00,19
2019-11-05 14:49:00,16
2019-11-05 14:50:00,3
2019-11-05 14:51:00,16
2019-11-05 14:52:00,3
2019-11-05 14:53:00,11
2019-11-05 14:54:00,12
2019-11-05 14:55:00,18
2019-11-05 14:56:00,19
2019-11-05 14:57:00,21
2019-11-05 14:58:00,13
2019-11-05 14:59:00,19
2019-11-05 15:00:00,19
2019-11-05 15:01:00,19
2019-11-05 15:02:00,19
2019-11-05 15:03:00,19
2019-11-05 15:04:00,19
2019-11-05 15:05:00,19
2019-11-05 15:14:00,18
2019-11-05 15:15:00,19
2019-11-05 18:24:00,1
2019-11-05 18:25:00,28
2019-11-05 18:26:00,40
2019-11-05 18:27:00,38
2019-11-05 18:28:00,40
2019-11-05 18:29:00,40
2019-11-05 18:30:00,40
2019-11-05 18:31:00,39
2019-11-05 18:32:00,39
2019-11-05 18:33:00,40
2019-11-05 18:34:00,40
2019-11-05 18:35:00,39
2019-11-05 18:36:00,39
2019-11-05 18:37:00,39
2019-11-05 18:38:00,40
2019-11-05 18:39:00,39
2019-11-05 18:40:00,40
2019-11-05 18:41:00,39
2019-11-05 18:42:00,39
2019-11-05 18:43:00,40
2019-11-05 18:44:00,39
2019-11-05 18:45:00,39
2019-11-05 18:46:00,40
2019-11-05 18:47:00,5
2019-11-05 18:59:00,12
2019-11-05 19:00:00,17
2019-11-05 19:01:00,40
2019-11-05 19:02:00,39
2019-11-05 19:03:00,39
2019-11-05 19:04:00,37
2019-11-05 19:05:00,38
2019-11-05 19:06:00,38
2019-11-05 19:07:00,16
