51,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-10-09 00:22:00,1
2019-10-09 01:24:00,2
2019-10-09 01:26:00,4
2019-10-09 01:49:00,1
2019-10-09 04:25:00,3
2019-10-09 04:26:00,1
2019-10-09 05:11:00,2
2019-10-09 05:12:00,2
2019-10-09 05:13:00,1
2019-10-09 08:29:00,1
2019-10-09 08:58:00,1
2019-10-09 12:16:00,1
2019-10-09 12:17:00,2
2019-10-09 12:21:00,1
2019-10-09 12:23:00,2
2019-10-09 16:46:00,1
2019-10-09 16:48:00,3
2019-10-09 16:49:00,2
2019-10-09 16:51:00,1
2019-10-09 16:52:00,4
2019-10-09 16:55:00,1
2019-10-09 16:56:00,1
2019-10-09 16:57:00,1
2019-10-09 17:20:00,1
2019-10-09 17:37:00,1
2019-10-09 17:41:00,1
2019-10-09 18:20:00,1
2019-10-09 18:42:00,1
2019-10-09 19:24:00,1
2019-10-09 19:29:00,1
2019-10-09 19:31:00,1
2019-10-09 19:43:00,1
2019-10-09 19:45:00,3
