2846,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-12-11 00:00:00,1
2019-12-11 00:02:00,9
2019-12-11 00:03:00,6
2019-12-11 00:04:00,3
2019-12-11 00:10:00,1
2019-12-11 00:12:00,9
2019-12-11 00:13:00,5
2019-12-11 00:14:00,3
2019-12-11 00:20:00,1
2019-12-11 00:22:00,9
2019-12-11 00:23:00,5
2019-12-11 00:24:00,3
2019-12-11 00:30:00,1
2019-12-11 00:32:00,9
2019-12-11 00:33:00,5
2019-12-11 00:34:00,5
2019-12-11 00:35:00,1
2019-12-11 00:40:00,1
2019-12-11 00:41:00,5
2019-12-11 00:42:00,9
2019-12-11 00:43:00,5
2019-12-11 00:44:00,3
2019-12-11 00:45:00,4
2019-12-11 00:49:00,1
2019-12-11 00:50:00,1
2019-12-11 00:52:00,13
2019-12-11 00:53:00,16
2019-12-11 00:54:00,3
2019-12-11 01:00:00,1
2019-12-11 01:02:00,9
2019-12-11 01:03:00,5
2019-12-11 01:04:00,4
2019-12-11 01:08:00,1
2019-12-11 01:10:00,1
2019-12-11 01:12:00,9
2019-12-11 01:13:00,5
2019-12-11 01:14:00,3
2019-12-11 01:20:00,2
