612,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-04-01 14:11:00,1
2019-04-01 14:12:00,1
2019-04-01 14:23:00,9
2019-04-01 14:24:00,12
2019-04-01 23:17:00,1
2019-04-01 23:18:00,6
2019-04-01 23:19:00,16
2019-04-01 23:20:00,12
2019-04-01 23:21:00,40
2019-04-01 23:22:00,23
2019-04-01 23:23:00,6
2019-04-01 23:24:00,2
2019-04-01 23:25:00,11
2019-04-01 23:26:00,18
2019-04-01 23:27:00,22
2019-04-01 23:28:00,19
2019-04-01 23:29:00,31
2019-04-01 23:30:00,17
2019-04-01 23:31:00,21
2019-04-01 23:32:00,31
2019-04-01 23:33:00,31
2019-04-01 23:34:00,13
2019-04-01 23:35:00,9
2019-04-01 23:36:00,5
2019-04-01 23:37:00,8
2019-04-01 23:38:00,7
2019-04-01 23:39:00,15
2019-04-01 23:40:00,15
2019-04-01 23:41:00,13
2019-04-01 23:42:00,19
2019-04-01 23:43:00,7
2019-04-01 23:44:00,6
2019-04-01 23:45:00,11
2019-04-01 23:46:00,11
2019-04-01 23:47:00,17
2019-04-01 23:48:00,11
2019-04-01 23:49:00,8
2019-04-01 23:50:00,6
2019-04-01 23:51:00,5
2019-04-01 23:52:00,13
2019-04-01 23:53:00,18
2019-04-01 23:54:00,17
2019-04-01 23:55:00,14
2019-04-01 23:56:00,11
2019-04-01 23:57:00,4
2019-04-01 23:58:00,3
2019-04-01 23:59:00,16
