6114,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-04-22 02:38:00,1
2019-04-22 02:39:00,6
2019-04-22 02:41:00,7
2019-04-22 02:42:00,1
2019-04-22 02:44:00,2
2019-04-22 02:46:00,14
2019-04-22 02:47:00,1
2019-04-22 02:49:00,5
2019-04-22 02:50:00,1
2019-04-22 02:51:00,7
2019-04-22 02:52:00,1
2019-04-22 02:53:00,5
2019-04-22 02:54:00,1
2019-04-22 02:56:00,10
2019-04-22 02:59:00,10
2019-04-22 03:00:00,1
2019-04-22 03:01:00,8
2019-04-22 03:02:00,3
2019-04-22 03:03:00,1
2019-04-22 03:04:00,2
2019-04-22 03:06:00,12
2019-04-22 03:08:00,1
2019-04-22 03:09:00,11
2019-04-22 03:10:00,1
2019-04-22 03:11:00,7
2019-04-22 03:12:00,1
2019-04-22 03:14:00,1
2019-04-22 03:16:00,8
2019-04-22 03:18:00,1
2019-04-22 03:19:00,7
2019-04-22 03:21:00,10
2019-04-22 03:22:00,1
2019-04-22 03:23:00,1
2019-04-22 03:25:00,1
2019-04-22 03:26:00,7
2019-04-22 03:27:00,1
2019-04-22 03:29:00,6
2019-04-22 03:30:00,1
2019-04-22 03:31:00,9
2019-04-22 03:33:00,2
2019-04-22 03:34:00,2
2019-04-22 03:35:00,2
2019-04-22 03:36:00,8
2019-04-22 03:37:00,3
2019-04-22 03:38:00,2
2019-04-22 03:39:00,7
2019-04-22 03:41:00,8
2019-04-22 03:42:00,1
2019-04-22 03:43:00,2
2019-04-22 03:44:00,2
2019-04-22 03:45:00,1
2019-04-22 03:46:00,13
2019-04-22 03:47:00,2
2019-04-22 03:48:00,1
2019-04-22 03:49:00,6
2019-04-22 03:50:00,2
2019-04-22 03:51:00,7
2019-04-22 03:52:00,1
2019-04-22 03:53:00,5
2019-04-22 03:54:00,1
2019-04-22 03:55:00,1
2019-04-22 03:56:00,8
2019-04-22 03:57:00,4
2019-04-22 03:58:00,3
2019-04-22 03:59:00,6
2019-04-22 04:00:00,2
2019-04-22 04:01:00,7
2019-04-22 04:02:00,1
2019-04-22 04:04:00,3
2019-04-22 04:05:00,1
2019-04-22 04:06:00,8
2019-04-22 04:07:00,4
2019-04-22 04:08:00,5
2019-04-22 04:09:00,13
2019-04-22 04:10:00,1
2019-04-22 04:11:00,8
2019-04-22 04:12:00,1
2019-04-22 04:13:00,1
2019-04-22 04:16:00,13
2019-04-22 04:18:00,1
2019-04-22 04:19:00,5
2019-04-22 04:20:00,4
2019-04-22 04:21:00,12
2019-04-22 04:22:00,3
2019-04-22 04:23:00,1
2019-04-22 04:24:00,3
2019-04-22 04:26:00,11
2019-04-22 04:27:00,5
2019-04-22 04:28:00,1
2019-04-22 04:29:00,6
2019-04-22 04:30:00,4
2019-04-22 04:31:00,12
2019-04-22 04:32:00,1
2019-04-22 04:33:00,1
2019-04-22 04:34:00,2
2019-04-22 04:35:00,1
2019-04-22 04:36:00,9
2019-04-22 04:37:00,1
2019-04-22 04:38:00,2
2019-04-22 04:39:00,7
2019-04-22 04:40:00,5
2019-04-22 04:41:00,7
2019-04-22 04:42:00,1
2019-04-22 04:45:00,1
2019-04-22 04:46:00,8
2019-04-22 04:47:00,1
2019-04-22 04:49:00,10
2019-04-22 04:51:00,11
2019-04-22 04:52:00,2
2019-04-22 04:53:00,6
2019-04-22 04:54:00,1
2019-04-22 04:55:00,1
2019-04-22 04:56:00,8
2019-04-22 04:58:00,5
2019-04-22 04:59:00,8
2019-04-22 05:00:00,1
2019-04-22 05:01:00,7
2019-04-22 05:02:00,1
2019-04-22 05:04:00,2
2019-04-22 05:05:00,1
2019-04-22 05:06:00,9
2019-04-22 05:07:00,1
2019-04-22 05:08:00,1
2019-04-22 05:09:00,6
2019-04-22 05:10:00,1
2019-04-22 05:11:00,8
2019-04-22 05:13:00,1
2019-04-22 05:15:00,1
2019-04-22 05:16:00,8
2019-04-22 05:17:00,1
2019-04-22 05:18:00,2
2019-04-22 05:19:00,5
2019-04-22 05:20:00,1
2019-04-22 05:21:00,8
2019-04-22 05:22:00,1
2019-04-22 05:24:00,2
2019-04-22 05:26:00,8
2019-04-22 05:27:00,5
2019-04-22 05:28:00,1
2019-04-22 05:29:00,6
2019-04-22 05:30:00,1
2019-04-22 05:31:00,8
2019-04-22 05:33:00,4
2019-04-22 05:34:00,4
2019-04-22 05:35:00,3
2019-04-22 05:36:00,9
2019-04-22 05:37:00,4
2019-04-22 05:38:00,1
2019-04-22 05:39:00,8
2019-04-22 05:41:00,8
2019-04-22 05:42:00,1
2019-04-22 05:43:00,2
2019-04-22 05:45:00,1
2019-04-22 05:46:00,11
2019-04-22 05:47:00,1
2019-04-22 05:48:00,2
2019-04-22 05:49:00,5
2019-04-22 05:50:00,2
2019-04-22 05:51:00,7
2019-04-22 05:52:00,1
2019-04-22 05:53:00,6
2019-04-22 05:54:00,7
2019-04-22 05:56:00,8
2019-04-22 05:58:00,1
2019-04-22 05:59:00,5
2019-04-22 06:01:00,8
2019-04-22 06:02:00,1
2019-04-22 06:03:00,1
2019-04-22 06:05:00,2
2019-04-22 06:06:00,8
2019-04-22 06:07:00,2
2019-04-22 06:08:00,1
2019-04-22 06:09:00,6
2019-04-22 06:11:00,8
2019-04-22 06:12:00,1
2019-04-22 06:14:00,2
2019-04-22 06:15:00,2
2019-04-22 06:16:00,8
2019-04-22 06:18:00,2
2019-04-22 06:19:00,9
2019-04-22 06:20:00,2
2019-04-22 06:21:00,8
2019-04-22 06:22:00,1
2019-04-22 06:23:00,5
2019-04-22 06:24:00,5
2019-04-22 06:26:00,8
2019-04-22 06:27:00,9
2019-04-22 06:29:00,10
2019-04-22 06:30:00,1
2019-04-22 06:31:00,10
2019-04-22 06:32:00,1
2019-04-22 06:33:00,3
2019-04-22 06:34:00,6
2019-04-22 06:35:00,1
2019-04-22 06:36:00,12
2019-04-22 06:38:00,1
2019-04-22 06:39:00,6
2019-04-22 06:40:00,1
2019-04-22 06:41:00,7
2019-04-22 06:42:00,1
2019-04-22 06:43:00,1
2019-04-22 06:44:00,1
2019-04-22 06:45:00,1
2019-04-22 06:46:00,9
2019-04-22 06:47:00,5
2019-04-22 06:48:00,1
2019-04-22 06:49:00,5
2019-04-22 06:50:00,1
2019-04-22 06:51:00,7
2019-04-22 06:53:00,6
2019-04-22 06:54:00,2
2019-04-22 06:55:00,1
2019-04-22 06:56:00,7
2019-04-22 06:57:00,5
2019-04-22 06:59:00,12
2019-04-22 07:00:00,1
2019-04-22 07:01:00,11
2019-04-22 07:03:00,1
2019-04-22 07:05:00,1
2019-04-22 07:06:00,9
2019-04-22 07:07:00,1
2019-04-22 07:08:00,1
2019-04-22 07:09:00,7
2019-04-22 07:11:00,8
2019-04-22 07:12:00,4
2019-04-22 07:13:00,1
2019-04-22 07:15:00,1
2019-04-22 07:16:00,11
2019-04-22 07:17:00,2
2019-04-22 07:18:00,2
2019-04-22 07:19:00,6
2019-04-22 07:20:00,2
2019-04-22 07:21:00,8
2019-04-22 07:24:00,1
2019-04-22 07:25:00,4
2019-04-22 07:26:00,10
2019-04-22 07:29:00,6
2019-04-22 07:30:00,4
2019-04-22 07:31:00,8
2019-04-22 07:34:00,2
2019-04-22 07:35:00,1
2019-04-22 07:36:00,7
2019-04-22 07:37:00,1
2019-04-22 07:38:00,2
2019-04-22 07:39:00,5
2019-04-22 07:40:00,1
2019-04-22 07:41:00,7
2019-04-22 07:42:00,1
2019-04-22 07:43:00,2
2019-04-22 07:45:00,1
2019-04-22 07:46:00,8
2019-04-22 07:47:00,4
2019-04-22 07:49:00,10
2019-04-22 07:50:00,5
2019-04-22 07:51:00,7
2019-04-22 07:52:00,3
2019-04-22 07:53:00,7
2019-04-22 07:56:00,7
2019-04-22 07:57:00,2
2019-04-22 07:58:00,1
2019-04-22 07:59:00,5
2019-04-22 08:01:00,7
2019-04-22 08:02:00,1
2019-04-22 08:04:00,1
2019-04-22 08:06:00,7
2019-04-22 08:08:00,1
2019-04-22 08:09:00,5
2019-04-22 08:10:00,1
2019-04-22 08:11:00,10
2019-04-22 08:13:00,1
2019-04-22 08:16:00,8
2019-04-22 08:17:00,4
2019-04-22 08:18:00,5
2019-04-22 08:19:00,6
2019-04-22 08:20:00,3
2019-04-22 08:21:00,7
2019-04-22 08:22:00,1
2019-04-22 08:23:00,4
2019-04-22 08:24:00,1
2019-04-22 08:26:00,11
2019-04-22 08:27:00,1
2019-04-22 08:29:00,6
2019-04-22 08:30:00,4
2019-04-22 08:31:00,8
2019-04-22 08:32:00,1
2019-04-22 08:34:00,3
2019-04-22 08:36:00,7
2019-04-22 08:37:00,1
2019-04-22 08:39:00,11
2019-04-22 08:40:00,2
2019-04-22 08:41:00,22
2019-04-22 08:42:00,6
2019-04-22 08:44:00,20
2019-04-22 08:46:00,8
2019-04-22 08:47:00,1
2019-04-22 08:48:00,4
2019-04-22 08:49:00,6
2019-04-22 08:51:00,8
2019-04-22 08:53:00,6
2019-04-22 08:55:00,1
2019-04-22 08:56:00,8
2019-04-22 08:58:00,2
2019-04-22 08:59:00,5
2019-04-22 09:00:00,5
2019-04-22 09:01:00,11
2019-04-22 09:03:00,1
2019-04-22 09:04:00,2
2019-04-22 09:05:00,1
2019-04-22 09:06:00,11
2019-04-22 09:07:00,7
2019-04-22 09:08:00,7
2019-04-22 09:09:00,12
2019-04-22 09:10:00,11
2019-04-22 09:11:00,16
2019-04-22 09:12:00,8
2019-04-22 09:13:00,7
2019-04-22 09:14:00,10
2019-04-22 09:15:00,9
2019-04-22 09:16:00,19
2019-04-22 09:17:00,7
2019-04-22 09:18:00,7
2019-04-22 09:19:00,13
2019-04-22 09:20:00,8
2019-04-22 09:21:00,15
2019-04-22 09:22:00,9
2019-04-22 09:23:00,27
2019-04-22 09:24:00,9
2019-04-22 09:25:00,8
2019-04-22 09:26:00,24
2019-04-22 09:27:00,7
2019-04-22 09:28:00,7
2019-04-22 09:29:00,14
2019-04-22 09:30:00,7
2019-04-22 09:31:00,17
2019-04-22 09:32:00,5
2019-04-22 09:33:00,1
2019-04-22 09:34:00,4
2019-04-22 09:36:00,8
2019-04-22 09:37:00,1
2019-04-22 09:38:00,2
2019-04-22 09:39:00,12
2019-04-22 09:40:00,1
2019-04-22 09:41:00,7
2019-04-22 09:42:00,3
2019-04-22 09:43:00,1
2019-04-22 09:44:00,1
2019-04-22 09:46:00,9
2019-04-22 09:47:00,3
2019-04-22 09:49:00,6
2019-04-22 09:51:00,8
2019-04-22 09:53:00,6
2019-04-22 09:55:00,1
2019-04-22 09:56:00,7
2019-04-22 09:57:00,1
2019-04-22 09:58:00,2
2019-04-22 09:59:00,6
2019-04-22 10:01:00,8
2019-04-22 10:02:00,1
2019-04-22 10:03:00,1
2019-04-22 10:05:00,3
2019-04-22 10:06:00,7
2019-04-22 10:07:00,1
2019-04-22 10:09:00,5
2019-04-22 10:10:00,1
2019-04-22 10:11:00,7
2019-04-22 10:13:00,2
2019-04-22 10:14:00,2
2019-04-22 10:15:00,4
2019-04-22 10:16:00,8
2019-04-22 10:17:00,1
2019-04-22 10:18:00,2
2019-04-22 10:19:00,7
2019-04-22 10:20:00,1
2019-04-22 10:21:00,10
2019-04-22 10:22:00,1
2019-04-22 10:23:00,2
2019-04-22 10:24:00,1
2019-04-22 10:25:00,3
2019-04-22 10:26:00,8
2019-04-22 10:27:00,9
2019-04-22 10:28:00,2
2019-04-22 10:29:00,6
2019-04-22 10:30:00,5
2019-04-22 10:31:00,7
2019-04-22 10:32:00,3
2019-04-22 10:34:00,2
2019-04-22 10:35:00,1
2019-04-22 10:36:00,7
2019-04-22 10:37:00,2
2019-04-22 10:38:00,6
2019-04-22 10:39:00,14
2019-04-22 10:40:00,17
2019-04-22 10:41:00,12
2019-04-22 10:42:00,5
2019-04-22 10:43:00,4
2019-04-22 10:44:00,4
2019-04-22 10:45:00,3
2019-04-22 10:46:00,8
2019-04-22 10:47:00,10
2019-04-22 10:48:00,7
2019-04-22 10:49:00,11
2019-04-22 10:50:00,6
2019-04-22 10:51:00,13
2019-04-22 10:52:00,5
2019-04-22 10:53:00,5
2019-04-22 10:54:00,1
2019-04-22 10:55:00,1
2019-04-22 10:56:00,8
2019-04-22 10:57:00,3
2019-04-22 10:58:00,8
2019-04-22 10:59:00,8
2019-04-22 11:01:00,8
2019-04-22 11:02:00,1
2019-04-22 11:04:00,4
2019-04-22 11:06:00,8
2019-04-22 11:07:00,2
2019-04-22 11:08:00,1
2019-04-22 11:09:00,9
2019-04-22 11:11:00,8
2019-04-22 11:14:00,1
2019-04-22 11:15:00,3
2019-04-22 11:16:00,12
2019-04-22 11:17:00,2
2019-04-22 11:18:00,1
2019-04-22 11:19:00,6
2019-04-22 11:20:00,1
2019-04-22 11:21:00,12
2019-04-22 11:22:00,5
2019-04-22 11:24:00,1
2019-04-22 11:26:00,8
2019-04-22 11:28:00,1
2019-04-22 11:29:00,5
2019-04-22 11:30:00,1
2019-04-22 11:31:00,7
2019-04-22 11:32:00,1
2019-04-22 11:34:00,2
2019-04-22 11:35:00,2
2019-04-22 11:36:00,7
2019-04-22 11:37:00,1
2019-04-22 11:38:00,1
2019-04-22 11:39:00,6
2019-04-22 11:40:00,1
2019-04-22 11:41:00,7
2019-04-22 11:42:00,5
2019-04-22 11:44:00,1
2019-04-22 11:45:00,4
2019-04-22 11:46:00,8
2019-04-22 11:47:00,4
2019-04-22 11:48:00,2
2019-04-22 11:49:00,5
2019-04-22 11:50:00,1
2019-04-22 11:51:00,8
2019-04-22 11:52:00,3
2019-04-22 11:53:00,6
2019-04-22 11:54:00,1
2019-04-22 11:55:00,1
2019-04-22 11:56:00,8
2019-04-22 11:57:00,3
2019-04-22 11:58:00,1
2019-04-22 11:59:00,6
2019-04-22 12:00:00,2
2019-04-22 12:01:00,30
2019-04-22 12:02:00,5
2019-04-22 12:03:00,12
2019-04-22 12:04:00,1
2019-04-22 12:06:00,9
2019-04-22 12:07:00,2
2019-04-22 12:08:00,2
2019-04-22 12:09:00,5
2019-04-22 12:10:00,1
2019-04-22 12:11:00,7
2019-04-22 12:13:00,2
2019-04-22 12:15:00,1
2019-04-22 12:16:00,7
2019-04-22 12:17:00,6
2019-04-22 12:19:00,6
2019-04-22 12:20:00,1
2019-04-22 12:21:00,28
2019-04-22 12:22:00,4
2019-04-22 12:23:00,4
2019-04-22 12:24:00,7
2019-04-22 12:25:00,6
2019-04-22 12:26:00,14
2019-04-22 12:27:00,25
2019-04-22 12:28:00,15
2019-04-22 12:29:00,20
2019-04-22 12:30:00,5
2019-04-22 12:31:00,16
2019-04-22 12:32:00,12
2019-04-22 12:33:00,19
2019-04-22 12:34:00,12
2019-04-22 12:35:00,4
2019-04-22 12:36:00,10
2019-04-22 12:37:00,4
2019-04-22 12:38:00,9
2019-04-22 12:39:00,13
2019-04-22 12:40:00,10
2019-04-22 12:41:00,19
2019-04-22 12:42:00,8
2019-04-22 12:43:00,8
2019-04-22 12:44:00,6
2019-04-22 12:45:00,5
2019-04-22 12:46:00,14
2019-04-22 12:47:00,8
2019-04-22 12:48:00,11
2019-04-22 12:49:00,11
2019-04-22 12:50:00,5
2019-04-22 12:51:00,16
2019-04-22 12:52:00,7
2019-04-22 12:53:00,8
2019-04-22 12:54:00,4
2019-04-22 12:55:00,3
2019-04-22 12:56:00,10
2019-04-22 12:57:00,4
2019-04-22 12:58:00,5
2019-04-22 12:59:00,9
2019-04-22 13:00:00,7
2019-04-22 13:01:00,11
2019-04-22 13:02:00,12
2019-04-22 13:03:00,4
2019-04-22 13:04:00,4
2019-04-22 13:05:00,9
2019-04-22 13:06:00,18
2019-04-22 13:07:00,9
2019-04-22 13:08:00,9
2019-04-22 13:09:00,14
2019-04-22 13:10:00,9
2019-04-22 13:11:00,14
2019-04-22 13:12:00,11
2019-04-22 13:13:00,11
2019-04-22 13:14:00,10
2019-04-22 13:15:00,12
2019-04-22 13:16:00,16
2019-04-22 13:17:00,7
2019-04-22 13:18:00,9
2019-04-22 13:19:00,8
2019-04-22 13:20:00,4
2019-04-22 13:21:00,15
2019-04-22 13:22:00,12
2019-04-22 13:23:00,8
2019-04-22 13:24:00,8
2019-04-22 13:25:00,9
2019-04-22 13:26:00,13
2019-04-22 13:27:00,3
2019-04-22 13:28:00,4
2019-04-22 13:29:00,16
2019-04-22 13:30:00,7
2019-04-22 13:31:00,16
2019-04-22 13:32:00,8
2019-04-22 13:33:00,8
2019-04-22 13:34:00,8
2019-04-22 13:35:00,8
2019-04-22 13:36:00,13
2019-04-22 13:37:00,6
2019-04-22 13:38:00,8
2019-04-22 13:39:00,10
2019-04-22 13:40:00,8
2019-04-22 13:41:00,14
2019-04-22 13:42:00,6
2019-04-22 13:43:00,9
2019-04-22 13:44:00,6
2019-04-22 13:45:00,8
2019-04-22 13:46:00,13
2019-04-22 13:47:00,14
2019-04-22 13:48:00,11
2019-04-22 13:49:00,14
2019-04-22 13:50:00,9
2019-04-22 13:51:00,16
2019-04-22 13:52:00,8
2019-04-22 13:53:00,14
2019-04-22 13:54:00,8
2019-04-22 13:55:00,8
2019-04-22 13:56:00,14
2019-04-22 13:57:00,8
2019-04-22 13:58:00,13
2019-04-22 13:59:00,16
2019-04-22 14:00:00,8
2019-04-22 14:01:00,15
2019-04-22 14:02:00,11
2019-04-22 14:03:00,8
2019-04-22 14:04:00,6
2019-04-22 14:06:00,11
2019-04-22 14:07:00,2
2019-04-22 14:08:00,4
2019-04-22 14:09:00,5
2019-04-22 14:11:00,8
2019-04-22 14:12:00,5
2019-04-22 14:15:00,4
2019-04-22 14:16:00,8
2019-04-22 14:17:00,4
2019-04-22 14:18:00,2
2019-04-22 14:19:00,10
2019-04-22 14:21:00,7
2019-04-22 14:22:00,8
2019-04-22 14:25:00,4
2019-04-22 14:26:00,7
2019-04-22 14:27:00,3
2019-04-22 14:28:00,4
2019-04-22 14:29:00,5
2019-04-22 14:30:00,1
2019-04-22 14:31:00,7
2019-04-22 14:32:00,4
2019-04-22 14:34:00,3
2019-04-22 14:35:00,1
2019-04-22 14:36:00,7
2019-04-22 14:37:00,1
2019-04-22 14:38:00,1
2019-04-22 14:39:00,6
2019-04-22 14:41:00,11
2019-04-22 14:42:00,4
2019-04-22 14:43:00,4
2019-04-22 14:44:00,2
2019-04-22 14:45:00,4
2019-04-22 14:46:00,8
2019-04-22 14:47:00,9
2019-04-22 14:49:00,5
2019-04-22 14:51:00,9
2019-04-22 14:53:00,5
2019-04-22 14:56:00,8
2019-04-22 14:57:00,4
2019-04-22 14:58:00,1
2019-04-22 14:59:00,5
2019-04-22 15:00:00,1
2019-04-22 15:01:00,7
2019-04-22 15:03:00,26
2019-04-22 15:04:00,10
2019-04-22 15:05:00,8
2019-04-22 15:06:00,23
2019-04-22 15:07:00,12
2019-04-22 15:08:00,8
2019-04-22 15:09:00,12
2019-04-22 15:10:00,8
2019-04-22 15:11:00,14
2019-04-22 15:12:00,8
2019-04-22 15:13:00,7
2019-04-22 15:14:00,7
2019-04-22 15:15:00,8
2019-04-22 15:16:00,15
2019-04-22 15:17:00,8
2019-04-22 15:18:00,8
2019-04-22 15:19:00,13
2019-04-22 15:20:00,8
2019-04-22 15:21:00,13
2019-04-22 15:22:00,7
2019-04-22 15:23:00,23
2019-04-22 15:24:00,16
2019-04-22 15:25:00,7
2019-04-22 15:26:00,12
2019-04-22 15:27:00,3
2019-04-22 15:28:00,7
2019-04-22 15:29:00,11
2019-04-22 15:30:00,6
2019-04-22 15:31:00,12
2019-04-22 15:32:00,2
2019-04-22 15:34:00,2
2019-04-22 15:36:00,13
2019-04-22 15:37:00,2
2019-04-22 15:38:00,2
2019-04-22 15:39:00,6
2019-04-22 15:40:00,5
2019-04-22 15:41:00,7
2019-04-22 15:42:00,2
2019-04-22 15:45:00,4
2019-04-22 15:46:00,7
2019-04-22 15:47:00,10
2019-04-22 15:48:00,5
2019-04-22 15:49:00,5
2019-04-22 15:50:00,4
2019-04-22 15:51:00,7
2019-04-22 15:52:00,1
2019-04-22 15:53:00,5
2019-04-22 15:55:00,22
2019-04-22 15:56:00,14
2019-04-22 15:57:00,1
2019-04-22 15:58:00,20
2019-04-22 15:59:00,5
2019-04-22 16:00:00,1
2019-04-22 16:01:00,12
2019-04-22 16:02:00,4
2019-04-22 16:03:00,5
2019-04-22 16:04:00,3
2019-04-22 16:06:00,11
2019-04-22 16:08:00,4
2019-04-22 16:09:00,5
2019-04-22 16:11:00,7
2019-04-22 16:12:00,10
2019-04-22 16:14:00,4
2019-04-22 16:15:00,1
2019-04-22 16:16:00,11
2019-04-22 16:17:00,1
2019-04-22 16:18:00,4
2019-04-22 16:19:00,5
2019-04-22 16:21:00,12
2019-04-22 16:22:00,1
2019-04-22 16:23:00,2
2019-04-22 16:24:00,1
2019-04-22 16:25:00,5
2019-04-22 16:26:00,7
2019-04-22 16:27:00,2
2019-04-22 16:29:00,5
2019-04-22 16:31:00,7
2019-04-22 16:33:00,2
2019-04-22 16:34:00,2
2019-04-22 16:35:00,3
2019-04-22 16:36:00,8
2019-04-22 16:37:00,11
2019-04-22 16:38:00,1
2019-04-22 16:39:00,5
2019-04-22 16:41:00,11
2019-04-22 16:42:00,4
2019-04-22 16:44:00,5
2019-04-22 16:45:00,3
2019-04-22 16:46:00,8
2019-04-22 16:47:00,4
2019-04-22 16:49:00,5
2019-04-22 16:50:00,8
2019-04-22 16:51:00,7
2019-04-22 16:52:00,1
2019-04-22 16:53:00,5
2019-04-22 16:55:00,1
2019-04-22 16:56:00,7
2019-04-22 16:58:00,4
2019-04-22 16:59:00,6
2019-04-22 17:00:00,4
2019-04-22 17:01:00,7
2019-04-22 17:05:00,4
2019-04-22 17:06:00,7
2019-04-22 17:07:00,4
