29,select * from stellarMassFSPSGranWideNoDust where specObjId=#
2019-07-30 00:12:00,1
2019-07-30 01:01:00,1
2019-07-30 01:05:00,1
2019-07-30 01:09:00,1
2019-07-30 01:12:00,1
2019-07-30 01:14:00,1
2019-07-30 01:16:00,1
2019-07-30 01:17:00,1
2019-07-30 01:22:00,1
2019-07-30 01:24:00,1
2019-07-30 01:27:00,1
2019-07-30 01:28:00,1
2019-07-30 01:30:00,1
2019-07-30 01:31:00,1
2019-07-30 01:37:00,1
2019-07-30 01:39:00,1
2019-07-30 01:40:00,1
2019-07-30 01:45:00,1
2019-07-30 01:47:00,1
2019-07-30 01:53:00,1
2019-07-30 01:55:00,1
2019-07-30 01:59:00,1
2019-07-30 03:15:00,1
2019-07-30 07:47:00,1
2019-07-30 09:56:00,1
2019-07-30 16:24:00,1
2019-07-30 16:25:00,1
2019-07-30 16:44:00,1
2019-07-30 20:40:00,1
