222989,"select ObjID,ra,dec,dbo.fIAUFromEq(ra,dec) FROM PhotoObj WHERE ObjID=#"
2019-05-18 10:18:00,119
2019-05-18 10:19:00,254
2019-05-18 10:20:00,276
2019-05-18 10:21:00,286
2019-05-18 10:22:00,284
2019-05-18 10:23:00,268
2019-05-18 10:24:00,262
2019-05-18 10:25:00,263
2019-05-18 10:26:00,269
2019-05-18 10:27:00,285
2019-05-18 10:28:00,291
2019-05-18 10:29:00,266
2019-05-18 10:30:00,269
2019-05-18 10:31:00,262
2019-05-18 10:32:00,277
2019-05-18 10:33:00,285
2019-05-18 10:34:00,281
2019-05-18 10:35:00,264
2019-05-18 10:36:00,256
2019-05-18 10:37:00,263
2019-05-18 10:38:00,280
2019-05-18 10:39:00,275
2019-05-18 10:40:00,283
2019-05-18 10:41:00,262
2019-05-18 10:42:00,268
2019-05-18 10:43:00,262
2019-05-18 10:44:00,272
2019-05-18 10:45:00,279
2019-05-18 10:46:00,279
2019-05-18 10:47:00,269
2019-05-18 10:48:00,261
2019-05-18 10:49:00,257
2019-05-18 10:50:00,270
2019-05-18 10:51:00,286
2019-05-18 10:52:00,258
2019-05-18 10:53:00,274
2019-05-18 10:54:00,264
2019-05-18 10:55:00,266
2019-05-18 10:56:00,263
2019-05-18 10:57:00,288
2019-05-18 10:58:00,284
2019-05-18 10:59:00,271
2019-05-18 11:00:00,266
2019-05-18 11:01:00,264
2019-05-18 11:02:00,255
2019-05-18 11:03:00,272
2019-05-18 11:04:00,285
2019-05-18 11:05:00,276
2019-05-18 11:06:00,271
2019-05-18 11:07:00,272
2019-05-18 11:08:00,264
2019-05-18 11:09:00,276
2019-05-18 11:10:00,284
2019-05-18 11:11:00,285
2019-05-18 11:12:00,268
2019-05-18 11:13:00,269
2019-05-18 11:14:00,253
2019-05-18 11:15:00,281
2019-05-18 11:16:00,275
2019-05-18 11:17:00,263
2019-05-18 11:18:00,260
2019-05-18 11:19:00,257
2019-05-18 11:20:00,283
2019-05-18 11:21:00,286
2019-05-18 11:22:00,273
2019-05-18 11:23:00,265
2019-05-18 11:24:00,259
2019-05-18 11:25:00,253
2019-05-18 11:26:00,277
2019-05-18 11:27:00,280
2019-05-18 11:28:00,274
2019-05-18 11:29:00,260
2019-05-18 11:30:00,261
2019-05-18 11:31:00,263
2019-05-18 11:32:00,286
2019-05-18 11:33:00,286
2019-05-18 11:34:00,271
2019-05-18 11:35:00,260
2019-05-18 11:36:00,258
2019-05-18 11:37:00,262
2019-05-18 11:38:00,280
2019-05-18 11:39:00,280
2019-05-18 11:40:00,271
2019-05-18 11:41:00,262
2019-05-18 11:42:00,257
2019-05-18 11:43:00,258
2019-05-18 11:44:00,285
2019-05-18 11:45:00,281
2019-05-18 11:46:00,272
2019-05-18 11:47:00,265
2019-05-18 11:48:00,262
2019-05-18 11:49:00,262
2019-05-18 11:50:00,286
2019-05-18 11:51:00,285
2019-05-18 11:52:00,268
2019-05-18 11:53:00,270
2019-05-18 11:54:00,264
2019-05-18 11:55:00,256
2019-05-18 11:56:00,287
2019-05-18 11:57:00,265
2019-05-18 11:58:00,277
2019-05-18 11:59:00,258
2019-05-18 12:00:00,262
2019-05-18 12:01:00,270
2019-05-18 12:02:00,282
2019-05-18 12:03:00,265
2019-05-18 12:04:00,259
2019-05-18 12:05:00,253
2019-05-18 12:06:00,272
2019-05-18 12:07:00,283
2019-05-18 12:08:00,285
2019-05-18 12:09:00,260
2019-05-18 12:10:00,258
2019-05-18 12:11:00,258
2019-05-18 12:12:00,273
2019-05-18 12:13:00,286
2019-05-18 12:14:00,278
2019-05-18 12:15:00,264
2019-05-18 12:16:00,266
2019-05-18 12:17:00,256
2019-05-18 12:18:00,261
2019-05-18 12:19:00,283
2019-05-18 12:20:00,284
2019-05-18 12:21:00,279
2019-05-18 12:22:00,270
2019-05-18 12:23:00,268
2019-05-18 12:24:00,264
2019-05-18 12:25:00,269
2019-05-18 12:26:00,280
2019-05-18 12:27:00,273
2019-05-18 12:28:00,265
2019-05-18 12:29:00,269
2019-05-18 12:30:00,260
2019-05-18 12:31:00,285
2019-05-18 12:32:00,282
2019-05-18 12:33:00,291
2019-05-18 12:34:00,274
2019-05-18 12:35:00,267
2019-05-18 12:36:00,263
2019-05-18 12:37:00,274
2019-05-18 12:38:00,282
2019-05-18 12:39:00,284
2019-05-18 12:40:00,257
2019-05-18 12:41:00,261
2019-05-18 12:42:00,264
2019-05-18 12:43:00,271
2019-05-18 12:44:00,290
2019-05-18 12:45:00,284
2019-05-18 12:46:00,265
2019-05-18 12:47:00,250
2019-05-18 12:48:00,247
2019-05-18 12:49:00,265
2019-05-18 12:50:00,282
2019-05-18 12:51:00,282
2019-05-18 12:52:00,268
2019-05-18 12:53:00,257
2019-05-18 12:54:00,266
2019-05-18 12:55:00,264
2019-05-18 12:56:00,285
2019-05-18 12:57:00,287
2019-05-18 12:58:00,269
2019-05-18 12:59:00,267
2019-05-18 13:00:00,264
2019-05-18 13:01:00,271
2019-05-18 13:02:00,278
2019-05-18 13:03:00,288
2019-05-18 13:04:00,278
2019-05-18 13:05:00,152
2019-05-18 13:06:00,266
2019-05-18 13:07:00,267
2019-05-18 13:08:00,287
2019-05-18 13:09:00,285
2019-05-18 13:10:00,277
2019-05-18 13:11:00,271
2019-05-18 13:12:00,267
2019-05-18 13:13:00,268
2019-05-18 13:14:00,280
2019-05-18 13:15:00,281
2019-05-18 13:16:00,278
2019-05-18 13:17:00,261
2019-05-18 13:18:00,262
2019-05-18 13:19:00,256
2019-05-18 13:20:00,278
2019-05-18 13:21:00,289
2019-05-18 13:22:00,285
2019-05-18 13:23:00,272
2019-05-18 13:24:00,270
2019-05-18 13:25:00,267
2019-05-18 13:26:00,270
2019-05-18 13:27:00,287
2019-05-18 13:28:00,286
2019-05-18 13:29:00,273
2019-05-18 13:30:00,265
2019-05-18 13:31:00,272
2019-05-18 13:32:00,281
2019-05-18 13:33:00,285
2019-05-18 13:34:00,284
2019-05-18 13:35:00,259
2019-05-18 13:36:00,267
2019-05-18 13:37:00,268
2019-05-18 13:38:00,276
2019-05-18 13:39:00,283
2019-05-18 13:40:00,288
2019-05-18 13:41:00,265
2019-05-18 13:42:00,267
2019-05-18 13:43:00,265
2019-05-18 13:44:00,270
2019-05-18 13:45:00,282
2019-05-18 13:46:00,281
2019-05-18 13:47:00,261
2019-05-18 13:48:00,267
2019-05-18 13:49:00,261
2019-05-18 13:50:00,279
2019-05-18 13:51:00,284
2019-05-18 13:52:00,290
2019-05-18 13:53:00,270
2019-05-18 13:54:00,262
2019-05-18 13:55:00,267
2019-05-18 13:56:00,267
2019-05-18 13:57:00,286
2019-05-18 13:58:00,286
2019-05-18 13:59:00,270
2019-05-18 14:00:00,261
2019-05-18 14:01:00,266
2019-05-18 14:02:00,265
2019-05-18 14:03:00,287
2019-05-18 14:04:00,289
2019-05-18 14:05:00,158
2019-05-18 14:06:00,267
2019-05-18 14:07:00,247
2019-05-18 14:08:00,263
2019-05-18 14:09:00,283
2019-05-18 14:10:00,288
2019-05-18 14:11:00,278
2019-05-18 14:12:00,266
2019-05-18 14:13:00,269
2019-05-18 14:14:00,266
2019-05-18 14:15:00,281
2019-05-18 14:16:00,285
2019-05-18 14:17:00,279
2019-05-18 14:18:00,256
2019-05-18 14:19:00,256
2019-05-18 14:20:00,259
2019-05-18 14:21:00,277
2019-05-18 14:22:00,289
2019-05-18 14:23:00,291
2019-05-18 14:24:00,260
2019-05-18 14:25:00,265
2019-05-18 14:26:00,259
2019-05-18 14:27:00,271
2019-05-18 14:28:00,287
2019-05-18 14:29:00,284
2019-05-18 14:30:00,265
2019-05-18 14:31:00,262
2019-05-18 14:32:00,268
2019-05-18 14:33:00,265
2019-05-18 14:34:00,283
2019-05-18 14:35:00,285
2019-05-18 14:36:00,271
2019-05-18 14:37:00,260
2019-05-18 14:38:00,263
2019-05-18 14:39:00,266
2019-05-18 14:40:00,277
2019-05-18 14:41:00,285
2019-05-18 14:42:00,278
2019-05-18 14:43:00,270
2019-05-18 14:44:00,265
2019-05-18 14:45:00,261
2019-05-18 14:46:00,280
2019-05-18 14:47:00,282
2019-05-18 14:48:00,281
2019-05-18 14:49:00,261
2019-05-18 14:50:00,266
2019-05-18 14:51:00,265
2019-05-18 14:52:00,279
2019-05-18 14:53:00,284
2019-05-18 14:54:00,287
2019-05-18 14:55:00,268
2019-05-18 14:56:00,256
2019-05-18 14:57:00,267
2019-05-18 14:58:00,273
2019-05-18 14:59:00,293
2019-05-18 15:00:00,288
2019-05-18 15:01:00,264
2019-05-18 15:02:00,259
2019-05-18 15:03:00,262
2019-05-18 15:04:00,266
2019-05-18 15:05:00,183
2019-05-18 15:06:00,285
2019-05-18 15:07:00,270
2019-05-18 15:08:00,261
2019-05-18 15:09:00,261
2019-05-18 15:10:00,278
2019-05-18 15:11:00,283
2019-05-18 15:12:00,291
2019-05-18 15:13:00,274
2019-05-18 15:14:00,265
2019-05-18 15:15:00,257
2019-05-18 15:16:00,255
2019-05-18 15:17:00,286
2019-05-18 15:18:00,290
2019-05-18 15:19:00,277
2019-05-18 15:20:00,267
2019-05-18 15:21:00,270
2019-05-18 15:22:00,21
2019-05-18 15:23:00,254
2019-05-18 15:24:00,260
2019-05-18 15:25:00,271
2019-05-18 15:26:00,258
2019-05-18 15:27:00,268
2019-05-18 15:28:00,269
2019-05-18 15:29:00,272
2019-05-18 15:30:00,271
2019-05-18 15:31:00,268
2019-05-18 15:32:00,279
2019-05-18 15:33:00,281
2019-05-18 15:34:00,259
2019-05-18 15:35:00,264
2019-05-18 15:36:00,265
2019-05-18 15:37:00,267
2019-05-18 15:38:00,262
2019-05-18 15:39:00,255
2019-05-18 15:40:00,264
2019-05-18 15:41:00,259
2019-05-18 15:42:00,261
2019-05-18 15:43:00,270
2019-05-18 15:44:00,248
2019-05-18 15:45:00,246
2019-05-18 15:46:00,256
2019-05-18 15:47:00,246
2019-05-18 15:48:00,269
2019-05-18 15:49:00,266
2019-05-18 15:50:00,265
2019-05-18 15:51:00,268
2019-05-18 15:52:00,267
2019-05-18 15:53:00,291
2019-05-18 15:54:00,286
2019-05-18 15:55:00,271
2019-05-18 15:56:00,259
2019-05-18 15:57:00,263
2019-05-18 15:58:00,256
2019-05-18 15:59:00,283
2019-05-18 16:00:00,287
2019-05-18 16:01:00,277
2019-05-18 16:02:00,271
2019-05-18 16:03:00,268
2019-05-18 16:04:00,257
2019-05-18 16:05:00,206
2019-05-18 16:06:00,287
2019-05-18 16:07:00,268
2019-05-18 16:08:00,265
2019-05-18 16:09:00,260
2019-05-18 16:10:00,263
2019-05-18 16:11:00,286
2019-05-18 16:12:00,288
2019-05-18 16:13:00,275
2019-05-18 16:14:00,266
2019-05-18 16:15:00,271
2019-05-18 16:16:00,266
2019-05-18 16:17:00,287
2019-05-18 16:18:00,269
2019-05-18 16:19:00,273
2019-05-18 16:20:00,268
2019-05-18 16:21:00,273
2019-05-18 16:22:00,263
2019-05-18 16:23:00,278
2019-05-18 16:24:00,282
2019-05-18 16:25:00,281
2019-05-18 16:26:00,267
2019-05-18 16:27:00,268
2019-05-18 16:28:00,258
2019-05-18 16:29:00,275
2019-05-18 16:30:00,286
2019-05-18 16:31:00,288
2019-05-18 16:32:00,260
2019-05-18 16:33:00,269
2019-05-18 16:34:00,253
2019-05-18 16:35:00,265
2019-05-18 16:36:00,284
2019-05-18 16:37:00,283
2019-05-18 16:38:00,270
2019-05-18 16:39:00,260
2019-05-18 16:40:00,258
2019-05-18 16:41:00,279
2019-05-18 16:42:00,283
2019-05-18 16:43:00,286
2019-05-18 16:44:00,267
2019-05-18 16:45:00,253
2019-05-18 16:46:00,263
2019-05-18 16:47:00,272
2019-05-18 16:48:00,287
2019-05-18 16:49:00,284
2019-05-18 16:50:00,257
2019-05-18 16:51:00,257
2019-05-18 16:52:00,255
2019-05-18 16:53:00,266
2019-05-18 16:54:00,279
2019-05-18 16:55:00,283
2019-05-18 16:56:00,276
2019-05-18 16:57:00,263
2019-05-18 16:58:00,262
2019-05-18 16:59:00,262
2019-05-18 17:00:00,290
2019-05-18 17:01:00,287
2019-05-18 17:02:00,273
2019-05-18 17:03:00,264
2019-05-18 17:04:00,261
2019-05-18 17:05:00,193
2019-05-18 17:06:00,265
2019-05-18 17:07:00,276
2019-05-18 17:08:00,275
2019-05-18 17:09:00,265
2019-05-18 17:10:00,262
2019-05-18 17:11:00,264
2019-05-18 17:12:00,281
2019-05-18 17:13:00,282
2019-05-18 17:14:00,282
2019-05-18 17:15:00,264
2019-05-18 17:16:00,265
2019-05-18 17:17:00,263
2019-05-18 17:18:00,278
2019-05-18 17:19:00,288
2019-05-18 17:20:00,282
2019-05-18 17:21:00,267
2019-05-18 17:22:00,268
2019-05-18 17:23:00,269
2019-05-18 17:24:00,278
2019-05-18 17:25:00,280
2019-05-18 17:26:00,272
2019-05-18 17:27:00,260
2019-05-18 17:28:00,258
2019-05-18 17:29:00,260
2019-05-18 17:30:00,279
2019-05-18 17:31:00,287
2019-05-18 17:32:00,291
2019-05-18 17:33:00,269
