167,"SELECT p.objid, p.ra, p.dec, dbo.fPhotoTypeN(p.type) as type, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift   FROM PhotoObj as p   JOIN SpecObj as s ON s.bestobjid = p.objid  WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND (p.r BETWEEN # AND #) AND (s.class= &&&)"
2019-06-05 22:05:00,1
2019-06-05 22:08:00,6
2019-06-05 22:09:00,4
2019-06-05 22:11:00,1
2019-06-05 22:12:00,7
2019-06-05 22:15:00,15
2019-06-05 22:16:00,12
2019-06-05 22:17:00,1
2019-06-05 22:18:00,5
2019-06-05 22:19:00,14
2019-06-05 22:20:00,12
2019-06-05 22:21:00,10
2019-06-05 22:22:00,23
2019-06-05 22:23:00,19
2019-06-05 22:24:00,6
2019-06-05 22:25:00,20
2019-06-05 22:26:00,11
