256,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-11-01 00:46:00,1
2019-11-01 01:45:00,1
2019-11-01 02:45:00,1
2019-11-01 03:39:00,63
2019-11-01 03:40:00,101
2019-11-01 03:45:00,1
2019-11-01 04:45:00,1
2019-11-01 05:45:00,1
2019-11-01 06:45:00,1
2019-11-01 07:45:00,1
2019-11-01 08:45:00,1
2019-11-01 09:46:00,1
2019-11-01 10:45:00,1
2019-11-01 11:45:00,1
2019-11-01 12:33:00,7
2019-11-01 12:46:00,4
2019-11-01 12:47:00,4
2019-11-01 12:50:00,20
2019-11-01 12:51:00,29
2019-11-01 13:46:00,1
2019-11-01 14:45:00,1
2019-11-01 15:45:00,1
2019-11-01 16:29:00,9
2019-11-01 16:45:00,1
2019-11-01 17:46:00,1
2019-11-01 18:46:00,1
2019-11-01 19:45:00,1
