3279,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-07-18 00:00:00,1
2019-07-18 00:02:00,2
2019-07-18 00:03:00,12
2019-07-18 00:04:00,3
2019-07-18 00:05:00,2
2019-07-18 00:07:00,1
2019-07-18 00:08:00,1
2019-07-18 00:09:00,2
2019-07-18 00:10:00,1
2019-07-18 00:12:00,4
2019-07-18 00:13:00,14
2019-07-18 00:14:00,3
2019-07-18 00:17:00,1
2019-07-18 00:18:00,1
2019-07-18 00:20:00,1
2019-07-18 00:22:00,2
2019-07-18 00:23:00,11
2019-07-18 00:24:00,2
2019-07-18 00:27:00,1
2019-07-18 00:28:00,1
2019-07-18 00:30:00,1
2019-07-18 00:31:00,1
2019-07-18 00:32:00,2
2019-07-18 00:33:00,11
2019-07-18 00:34:00,4
2019-07-18 00:35:00,2
2019-07-18 00:37:00,2
2019-07-18 00:38:00,1
2019-07-18 00:40:00,1
2019-07-18 00:42:00,2
2019-07-18 00:43:00,11
2019-07-18 00:44:00,2
2019-07-18 00:45:00,4
2019-07-18 00:46:00,4
2019-07-18 00:47:00,1
2019-07-18 00:48:00,1
2019-07-18 00:50:00,1
2019-07-18 00:52:00,4
2019-07-18 00:53:00,11
2019-07-18 00:54:00,3
2019-07-18 00:55:00,1
2019-07-18 00:56:00,7
2019-07-18 00:57:00,1
2019-07-18 00:58:00,1
2019-07-18 01:00:00,2
2019-07-18 01:01:00,4
2019-07-18 01:02:00,2
2019-07-18 01:03:00,11
2019-07-18 01:04:00,2
2019-07-18 01:05:00,1
2019-07-18 01:06:00,6
2019-07-18 01:07:00,2
2019-07-18 01:08:00,2
2019-07-18 01:10:00,3
2019-07-18 01:11:00,1
2019-07-18 01:12:00,2
2019-07-18 01:13:00,11
2019-07-18 01:14:00,2
2019-07-18 01:17:00,1
2019-07-18 01:18:00,7
2019-07-18 01:21:00,1
2019-07-18 01:22:00,2
2019-07-18 01:23:00,12
2019-07-18 01:24:00,2
2019-07-18 01:27:00,4
2019-07-18 01:28:00,1
2019-07-18 01:29:00,4
2019-07-18 01:31:00,2
2019-07-18 01:32:00,3
2019-07-18 01:33:00,11
2019-07-18 01:34:00,9
2019-07-18 01:35:00,1
2019-07-18 01:36:00,1
2019-07-18 01:37:00,1
2019-07-18 01:38:00,1
2019-07-18 01:39:00,4
2019-07-18 01:40:00,8
2019-07-18 01:42:00,10
2019-07-18 01:43:00,11
2019-07-18 01:44:00,2
2019-07-18 01:45:00,8
2019-07-18 01:47:00,1
2019-07-18 01:48:00,4
2019-07-18 01:50:00,1
2019-07-18 01:51:00,1
2019-07-18 01:52:00,3
2019-07-18 01:53:00,13
2019-07-18 01:54:00,6
2019-07-18 01:55:00,1
2019-07-18 01:56:00,5
2019-07-18 01:57:00,2
2019-07-18 01:58:00,1
2019-07-18 02:00:00,1
2019-07-18 02:01:00,1
2019-07-18 02:02:00,2
2019-07-18 02:03:00,11
2019-07-18 02:04:00,2
2019-07-18 02:07:00,6
2019-07-18 02:08:00,1
2019-07-18 02:10:00,1
2019-07-18 02:12:00,2
2019-07-18 02:13:00,11
2019-07-18 02:14:00,4
2019-07-18 02:19:00,1
2019-07-18 02:20:00,1
2019-07-18 02:21:00,1
2019-07-18 02:22:00,3
2019-07-18 02:23:00,11
2019-07-18 02:24:00,2
2019-07-18 02:25:00,3
2019-07-18 02:29:00,3
2019-07-18 02:30:00,1
2019-07-18 02:31:00,1
2019-07-18 02:32:00,3
2019-07-18 02:33:00,11
2019-07-18 02:34:00,4
2019-07-18 02:38:00,2
2019-07-18 02:39:00,1
2019-07-18 02:40:00,3
2019-07-18 02:41:00,1
2019-07-18 02:42:00,3
2019-07-18 02:43:00,12
2019-07-18 02:44:00,3
2019-07-18 02:45:00,3
2019-07-18 02:46:00,3
2019-07-18 02:47:00,3
2019-07-18 02:48:00,2
2019-07-18 02:49:00,2
2019-07-18 02:50:00,2
2019-07-18 02:51:00,1
2019-07-18 02:52:00,2
2019-07-18 02:53:00,11
2019-07-18 02:54:00,3
2019-07-18 02:56:00,7
2019-07-18 02:59:00,4
2019-07-18 03:00:00,1
2019-07-18 03:01:00,1
2019-07-18 03:02:00,2
2019-07-18 03:03:00,11
2019-07-18 03:04:00,2
2019-07-18 03:07:00,1
2019-07-18 03:09:00,1
2019-07-18 03:10:00,1
2019-07-18 03:11:00,1
2019-07-18 03:12:00,4
2019-07-18 03:13:00,11
2019-07-18 03:14:00,3
2019-07-18 03:15:00,2
2019-07-18 03:17:00,2
2019-07-18 03:18:00,1
