60,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-12-07 00:46:00,1
2019-12-07 01:23:00,1
2019-12-07 01:46:00,1
2019-12-07 02:45:00,1
2019-12-07 03:44:00,1
2019-12-07 04:22:00,9
2019-12-07 04:45:00,1
2019-12-07 05:45:00,1
2019-12-07 06:44:00,1
2019-12-07 06:54:00,7
2019-12-07 06:55:00,2
2019-12-07 07:45:00,1
2019-12-07 08:44:00,1
2019-12-07 09:45:00,1
2019-12-07 10:36:00,1
2019-12-07 10:37:00,1
2019-12-07 10:45:00,1
2019-12-07 11:45:00,1
2019-12-07 12:45:00,1
2019-12-07 13:45:00,1
2019-12-07 14:45:00,1
2019-12-07 15:46:00,1
2019-12-07 15:49:00,1
2019-12-07 15:50:00,1
2019-12-07 15:58:00,1
2019-12-07 16:06:00,1
2019-12-07 16:12:00,1
2019-12-07 16:13:00,1
2019-12-07 16:14:00,1
2019-12-07 16:15:00,1
2019-12-07 16:18:00,1
2019-12-07 16:21:00,1
2019-12-07 16:46:00,1
2019-12-07 16:50:00,1
2019-12-07 17:23:00,9
2019-12-07 17:46:00,1
2019-12-07 18:45:00,1
