4012,"select p.objID, p.bin, p.band, p.profMean from PhotoProfile AS p WHERE p.objID=# AND p.band=#"
2019-11-20 17:34:00,5
2019-11-20 17:35:00,58
2019-11-20 17:36:00,59
2019-11-20 17:37:00,60
2019-11-20 17:38:00,59
2019-11-20 17:39:00,60
2019-11-20 17:40:00,58
2019-11-20 17:41:00,61
2019-11-20 17:42:00,61
2019-11-20 17:43:00,62
2019-11-20 17:44:00,60
2019-11-20 17:45:00,61
2019-11-20 17:46:00,61
2019-11-20 17:47:00,60
2019-11-20 17:48:00,59
2019-11-20 17:49:00,60
2019-11-20 17:50:00,59
2019-11-20 17:51:00,60
2019-11-20 17:52:00,59
2019-11-20 17:53:00,59
2019-11-20 17:54:00,60
2019-11-20 17:55:00,61
2019-11-20 17:56:00,58
2019-11-20 17:57:00,60
2019-11-20 17:58:00,61
2019-11-20 17:59:00,61
2019-11-20 18:00:00,54
2019-11-20 18:01:00,60
2019-11-20 18:02:00,61
2019-11-20 18:03:00,61
2019-11-20 18:04:00,60
2019-11-20 18:05:00,60
2019-11-20 18:06:00,61
2019-11-20 18:07:00,62
2019-11-20 18:08:00,59
2019-11-20 18:09:00,59
2019-11-20 18:10:00,62
2019-11-20 18:11:00,61
2019-11-20 18:12:00,61
2019-11-20 18:13:00,61
2019-11-20 18:14:00,60
2019-11-20 18:15:00,61
2019-11-20 18:16:00,59
2019-11-20 18:17:00,60
2019-11-20 18:18:00,59
2019-11-20 18:19:00,61
2019-11-20 18:20:00,60
2019-11-20 18:21:00,57
2019-11-20 18:22:00,60
2019-11-20 18:23:00,60
2019-11-20 18:24:00,61
2019-11-20 18:25:00,61
2019-11-20 18:26:00,61
2019-11-20 18:27:00,61
2019-11-20 18:28:00,62
2019-11-20 18:29:00,61
2019-11-20 18:30:00,59
2019-11-20 18:31:00,61
2019-11-20 18:32:00,61
2019-11-20 18:33:00,59
2019-11-20 18:34:00,61
2019-11-20 18:35:00,61
2019-11-20 18:36:00,61
2019-11-20 18:37:00,50
2019-11-20 18:38:00,54
2019-11-20 18:39:00,60
2019-11-20 18:40:00,60
2019-11-20 18:41:00,57
