3936,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-07-31 00:00:00,5
2019-07-31 00:01:00,2
2019-07-31 00:02:00,6
2019-07-31 00:04:00,4
2019-07-31 00:06:00,2
2019-07-31 00:09:00,3
2019-07-31 00:10:00,5
2019-07-31 00:11:00,2
2019-07-31 00:12:00,2
2019-07-31 00:14:00,4
2019-07-31 00:16:00,2
2019-07-31 00:19:00,3
2019-07-31 00:20:00,5
2019-07-31 00:21:00,2
2019-07-31 00:22:00,2
2019-07-31 00:24:00,4
2019-07-31 00:26:00,2
2019-07-31 00:29:00,3
2019-07-31 00:30:00,5
2019-07-31 00:31:00,2
2019-07-31 00:32:00,2
2019-07-31 00:34:00,6
2019-07-31 00:36:00,2
2019-07-31 00:39:00,3
2019-07-31 00:40:00,4
2019-07-31 00:41:00,2
2019-07-31 00:42:00,3
2019-07-31 00:44:00,4
2019-07-31 00:45:00,4
2019-07-31 00:46:00,2
2019-07-31 00:49:00,3
2019-07-31 00:50:00,3
2019-07-31 00:51:00,3
2019-07-31 00:52:00,3
2019-07-31 00:54:00,4
2019-07-31 00:55:00,4
2019-07-31 00:56:00,3
2019-07-31 00:59:00,2
2019-07-31 01:00:00,4
2019-07-31 01:01:00,3
2019-07-31 01:02:00,3
2019-07-31 01:04:00,4
2019-07-31 01:06:00,2
2019-07-31 01:09:00,1
2019-07-31 01:10:00,5
2019-07-31 01:11:00,3
2019-07-31 01:12:00,3
2019-07-31 01:14:00,4
2019-07-31 01:16:00,2
2019-07-31 01:19:00,3
2019-07-31 01:20:00,3
2019-07-31 01:21:00,3
2019-07-31 01:22:00,3
2019-07-31 01:24:00,4
2019-07-31 01:26:00,2
2019-07-31 01:29:00,2
2019-07-31 01:30:00,4
2019-07-31 01:31:00,3
2019-07-31 01:32:00,3
2019-07-31 01:34:00,6
2019-07-31 01:36:00,2
2019-07-31 01:39:00,1
2019-07-31 01:40:00,5
2019-07-31 01:41:00,3
2019-07-31 01:42:00,3
2019-07-31 01:44:00,4
2019-07-31 01:45:00,2
2019-07-31 01:46:00,4
2019-07-31 01:50:00,6
2019-07-31 01:51:00,3
2019-07-31 01:52:00,3
2019-07-31 01:54:00,4
2019-07-31 01:55:00,5
2019-07-31 01:56:00,2
2019-07-31 02:00:00,6
2019-07-31 02:01:00,3
2019-07-31 02:02:00,3
2019-07-31 02:04:00,4
2019-07-31 02:06:00,2
2019-07-31 02:10:00,6
2019-07-31 02:11:00,3
2019-07-31 02:12:00,3
