62,"select or (#,#)=(select*from(select name_const(CHAR(#,#,#,#,#,#,#,#,#),#),name_const(CHAR(#,#,#,#,#,#,#,#,#),#))a) -- and #=#"
2019-07-05 00:10:00,1
2019-07-05 00:37:00,1
2019-07-05 01:04:00,1
2019-07-05 01:30:00,1
2019-07-05 04:08:00,1
2019-07-05 05:35:00,1
2019-07-05 05:48:00,1
2019-07-05 06:11:00,1
2019-07-05 06:59:00,1
2019-07-05 07:07:00,1
2019-07-05 07:16:00,1
2019-07-05 07:42:00,1
2019-07-05 07:49:00,1
2019-07-05 08:05:00,1
2019-07-05 08:27:00,1
2019-07-05 08:55:00,1
2019-07-05 09:43:00,1
2019-07-05 10:16:00,1
2019-07-05 10:23:00,1
2019-07-05 10:30:00,1
2019-07-05 10:36:00,1
2019-07-05 10:41:00,1
2019-07-05 11:06:00,1
2019-07-05 11:11:00,1
2019-07-05 11:24:00,1
2019-07-05 11:35:00,1
2019-07-05 11:48:00,1
2019-07-05 11:52:00,1
2019-07-05 12:05:00,1
2019-07-05 12:16:00,1
2019-07-05 12:26:00,1
2019-07-05 12:31:00,1
2019-07-05 12:41:00,1
2019-07-05 12:47:00,1
2019-07-05 12:51:00,1
2019-07-05 12:57:00,1
2019-07-05 13:06:00,1
2019-07-05 13:11:00,1
2019-07-05 13:22:00,1
2019-07-05 13:36:00,1
2019-07-05 13:42:00,1
2019-07-05 13:46:00,1
2019-07-05 13:56:00,1
2019-07-05 14:06:00,1
2019-07-05 14:11:00,1
2019-07-05 14:16:00,1
2019-07-05 14:21:00,1
2019-07-05 14:26:00,1
2019-07-05 14:36:00,1
2019-07-05 14:41:00,1
2019-07-05 14:47:00,1
2019-07-05 14:52:00,1
2019-07-05 14:58:00,1
2019-07-05 16:05:00,1
2019-07-05 16:54:00,1
2019-07-05 17:48:00,1
2019-07-05 19:47:00,1
2019-07-05 20:15:00,1
2019-07-05 20:46:00,1
2019-07-05 22:14:00,1
2019-07-05 22:41:00,1
2019-07-05 23:08:00,1
