591,SELECT TOP #
2019-07-05 00:03:00,4
2019-07-05 00:06:00,4
2019-07-05 00:15:00,4
2019-07-05 00:21:00,4
2019-07-05 00:25:00,4
2019-07-05 00:36:00,4
2019-07-05 00:39:00,4
2019-07-05 00:42:00,4
2019-07-05 00:45:00,4
2019-07-05 00:48:00,4
2019-07-05 00:54:00,4
2019-07-05 00:57:00,4
2019-07-05 01:03:00,4
2019-07-05 01:12:00,4
2019-07-05 01:18:00,4
2019-07-05 01:21:00,4
2019-07-05 01:27:00,4
2019-07-05 01:30:00,3
2019-07-05 01:31:00,1
2019-07-05 01:33:00,4
2019-07-05 01:51:00,4
2019-07-05 01:57:00,4
2019-07-05 02:00:00,4
2019-07-05 02:03:00,4
2019-07-05 02:06:00,4
2019-07-05 02:09:00,4
2019-07-05 02:12:00,4
2019-07-05 02:15:00,4
2019-07-05 02:18:00,4
2019-07-05 02:24:00,4
2019-07-05 02:30:00,4
2019-07-05 02:39:00,4
2019-07-05 02:52:00,4
2019-07-05 02:55:00,4
2019-07-05 03:04:00,4
2019-07-05 03:10:00,4
2019-07-05 03:16:00,4
2019-07-05 03:28:00,4
2019-07-05 03:32:00,1
2019-07-05 03:43:00,4
2019-07-05 03:46:00,4
2019-07-05 03:49:00,4
2019-07-05 03:55:00,4
2019-07-05 04:01:00,4
2019-07-05 04:04:00,4
2019-07-05 04:10:00,4
2019-07-05 04:13:00,4
2019-07-05 04:16:00,4
2019-07-05 04:19:00,4
2019-07-05 04:22:00,4
2019-07-05 04:28:00,4
2019-07-05 04:31:00,4
2019-07-05 04:43:00,4
2019-07-05 04:46:00,4
2019-07-05 04:49:00,4
2019-07-05 04:52:00,4
2019-07-05 04:55:00,4
2019-07-05 04:58:00,4
2019-07-05 05:07:00,4
2019-07-05 05:10:00,4
2019-07-05 05:13:00,4
2019-07-05 05:16:00,4
2019-07-05 05:19:00,4
2019-07-05 05:22:00,4
2019-07-05 05:31:00,4
2019-07-05 05:34:00,4
2019-07-05 05:37:00,4
2019-07-05 05:43:00,3
2019-07-05 05:44:00,1
2019-07-05 05:46:00,4
2019-07-05 05:49:00,4
2019-07-05 05:58:00,4
2019-07-05 06:04:00,4
2019-07-05 06:07:00,4
2019-07-05 06:10:00,4
2019-07-05 06:13:00,4
2019-07-05 06:16:00,4
2019-07-05 06:19:00,4
2019-07-05 06:22:00,4
2019-07-05 06:25:00,4
2019-07-05 06:37:00,4
2019-07-05 06:43:00,4
2019-07-05 06:49:00,4
2019-07-05 06:52:00,4
2019-07-05 06:58:00,4
2019-07-05 07:01:00,4
2019-07-05 07:04:00,4
2019-07-05 07:10:00,4
2019-07-05 07:13:00,4
2019-07-05 07:16:00,1
2019-07-05 07:17:00,1
2019-07-05 07:19:00,4
2019-07-05 07:22:00,4
2019-07-05 07:25:00,4
2019-07-05 07:28:00,3
2019-07-05 07:29:00,1
2019-07-05 07:31:00,4
2019-07-05 07:34:00,4
2019-07-05 07:40:00,4
2019-07-05 07:43:00,4
2019-07-05 07:46:00,4
2019-07-05 07:49:00,4
2019-07-05 07:55:00,4
2019-07-05 07:58:00,4
2019-07-05 08:01:00,4
2019-07-05 08:04:00,4
2019-07-05 08:10:00,4
2019-07-05 08:13:00,4
2019-07-05 08:19:00,4
2019-07-05 08:22:00,4
2019-07-05 08:34:00,4
2019-07-05 08:40:00,4
2019-07-05 08:43:00,4
2019-07-05 08:46:00,4
2019-07-05 08:49:00,4
2019-07-05 08:52:00,4
2019-07-05 08:55:00,4
2019-07-05 08:58:00,4
2019-07-05 09:01:00,4
2019-07-05 09:04:00,4
2019-07-05 09:07:00,4
2019-07-05 09:19:00,4
2019-07-05 09:22:00,3
2019-07-05 09:23:00,1
2019-07-05 09:37:00,4
2019-07-05 09:40:00,4
2019-07-05 09:41:00,1
2019-07-05 09:43:00,4
2019-07-05 09:49:00,4
2019-07-05 09:51:00,1
2019-07-05 09:52:00,4
2019-07-05 09:58:00,4
2019-07-05 10:01:00,4
2019-07-05 10:07:00,4
2019-07-05 10:11:00,4
2019-07-05 10:16:00,4
2019-07-05 10:19:00,4
2019-07-05 10:25:00,4
2019-07-05 10:28:00,4
2019-07-05 10:31:00,4
2019-07-05 10:34:00,4
2019-07-05 10:37:00,4
2019-07-05 10:40:00,4
2019-07-05 10:43:00,4
2019-07-05 10:46:00,4
2019-07-05 10:50:00,3
2019-07-05 10:51:00,1
2019-07-05 10:52:00,4
2019-07-05 10:55:00,4
2019-07-05 10:58:00,3
2019-07-05 10:59:00,1
2019-07-05 11:01:00,3
2019-07-05 11:02:00,1
2019-07-05 11:26:00,4
2019-07-05 12:31:00,1
2019-07-05 15:23:00,4
2019-07-05 17:03:00,4
2019-07-05 18:41:00,4
2019-07-05 20:05:00,4
2019-07-05 21:09:00,1
