225,"SELECT p.objid, p.ra, p.dec, dbo.fPhotoTypeN(p.type) as type, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift   FROM PhotoObj as p   JOIN SpecObj as s ON s.bestobjid = p.objid  WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND (p.r BETWEEN # AND #) AND (s.class= &&&)"
2019-06-06 00:18:00,25
2019-06-06 00:19:00,25
2019-06-06 00:20:00,18
2019-06-06 00:21:00,6
2019-06-06 00:32:00,3
2019-06-06 00:34:00,10
2019-06-06 00:35:00,26
2019-06-06 00:36:00,26
2019-06-06 00:37:00,12
2019-06-06 00:40:00,16
2019-06-06 00:41:00,19
2019-06-06 00:42:00,26
2019-06-06 00:43:00,13
