21,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-06-24 13:26:00,1
2019-06-24 13:37:00,1
2019-06-24 13:40:00,1
2019-06-24 13:46:00,1
2019-06-24 13:49:00,2
2019-06-24 13:54:00,1
2019-06-24 13:56:00,1
2019-06-24 14:05:00,1
2019-06-24 14:06:00,1
2019-06-24 14:07:00,2
2019-06-24 14:12:00,1
2019-06-24 14:13:00,1
2019-06-24 14:14:00,1
2019-06-24 14:16:00,1
2019-06-24 14:19:00,1
2019-06-24 14:23:00,2
2019-06-24 14:28:00,1
2019-06-24 14:32:00,1
