2639,"SELECT DISTINCT p.objid, p.type, p.ra, p.dec, p.r, p.g FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-08 08:29:00,1
2019-10-08 08:41:00,1
2019-10-08 08:55:00,23
2019-10-08 08:56:00,13
2019-10-08 09:04:00,1
2019-10-08 09:06:00,51
2019-10-08 09:07:00,1
2019-10-08 10:05:00,21
2019-10-08 10:10:00,238
2019-10-08 10:11:00,219
2019-10-08 10:12:00,93
2019-10-08 10:41:00,29
2019-10-08 10:54:00,198
2019-10-08 10:55:00,114
2019-10-08 11:19:00,229
2019-10-08 11:23:00,261
2019-10-08 11:24:00,161
2019-10-08 11:25:00,202
2019-10-08 13:47:00,106
2019-10-08 13:48:00,223
2019-10-08 13:49:00,212
2019-10-08 13:50:00,38
2019-10-08 13:52:00,204
