25,"SELECT TOP # p.ra, p.dec, p.r, p.petroRad_r, s.z as redshift, p.objid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = &&& AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.r BETWEEN # AND # order by sqrt (square(p.ra-#)+square(p.dec+#))"
2019-10-22 13:05:00,2
2019-10-22 13:07:00,4
2019-10-22 13:09:00,1
2019-10-22 13:11:00,1
2019-10-22 13:12:00,1
2019-10-22 13:13:00,1
2019-10-22 13:14:00,2
2019-10-22 13:21:00,5
2019-10-22 13:22:00,1
2019-10-22 13:24:00,1
2019-10-22 13:25:00,2
2019-10-22 13:26:00,2
2019-10-22 13:36:00,2
