1676,SELECT DISTINCT p.* FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))
2019-02-15 20:23:00,1
2019-02-15 20:25:00,1
2019-02-15 20:26:00,1
2019-02-15 20:27:00,1
2019-02-15 20:39:00,1
2019-02-15 21:19:00,3
2019-02-15 21:27:00,19
2019-02-15 21:28:00,17
2019-02-15 21:29:00,20
2019-02-15 21:30:00,18
2019-02-15 21:31:00,18
2019-02-15 21:32:00,17
2019-02-15 21:33:00,18
2019-02-15 21:34:00,18
2019-02-15 21:35:00,21
2019-02-15 21:36:00,21
2019-02-15 21:37:00,23
2019-02-15 21:38:00,18
2019-02-15 21:39:00,18
2019-02-15 21:40:00,18
2019-02-15 21:41:00,19
2019-02-15 21:42:00,21
2019-02-15 21:43:00,21
2019-02-15 21:44:00,22
2019-02-15 21:45:00,21
2019-02-15 21:46:00,23
2019-02-15 21:47:00,20
2019-02-15 21:48:00,21
2019-02-15 21:49:00,21
2019-02-15 21:50:00,21
2019-02-15 21:51:00,21
2019-02-15 21:52:00,22
2019-02-15 21:53:00,22
2019-02-15 21:54:00,19
2019-02-15 21:55:00,18
2019-02-15 21:56:00,17
2019-02-15 21:57:00,16
2019-02-15 21:58:00,15
2019-02-15 21:59:00,9
2019-02-15 22:00:00,9
2019-02-15 22:01:00,9
2019-02-15 22:02:00,9
2019-02-15 22:03:00,18
2019-02-15 22:04:00,18
2019-02-15 22:05:00,20
2019-02-15 22:06:00,13
2019-02-15 22:07:00,22
2019-02-15 22:08:00,21
2019-02-15 22:09:00,17
2019-02-15 22:10:00,6
2019-02-15 22:11:00,8
2019-02-15 22:12:00,5
2019-02-15 22:13:00,7
2019-02-15 22:14:00,8
2019-02-15 22:15:00,4
2019-02-15 22:16:00,9
2019-02-15 22:17:00,5
2019-02-15 22:18:00,5
2019-02-15 22:19:00,9
2019-02-15 22:20:00,6
2019-02-15 22:21:00,8
2019-02-15 22:22:00,6
2019-02-15 22:23:00,4
2019-02-15 22:24:00,9
2019-02-15 22:25:00,5
2019-02-15 22:26:00,4
2019-02-15 22:27:00,7
2019-02-15 22:28:00,5
2019-02-15 22:29:00,6
2019-02-15 22:30:00,9
2019-02-15 22:31:00,3
2019-02-15 22:32:00,9
2019-02-15 22:33:00,6
2019-02-15 22:34:00,8
2019-02-15 22:35:00,12
2019-02-15 22:36:00,21
2019-02-15 22:37:00,20
2019-02-15 22:38:00,21
2019-02-15 22:39:00,19
2019-02-15 22:40:00,20
2019-02-15 22:41:00,22
2019-02-15 22:42:00,18
2019-02-15 22:43:00,18
2019-02-15 22:44:00,21
2019-02-15 22:45:00,20
2019-02-15 22:46:00,20
2019-02-15 22:47:00,20
2019-02-15 22:48:00,19
2019-02-15 22:49:00,19
2019-02-15 22:50:00,20
2019-02-15 22:51:00,20
2019-02-15 22:52:00,16
2019-02-15 22:53:00,7
2019-02-15 22:54:00,8
2019-02-15 22:55:00,5
2019-02-15 22:56:00,9
2019-02-15 22:57:00,6
2019-02-15 22:58:00,8
2019-02-15 22:59:00,7
2019-02-15 23:00:00,6
2019-02-15 23:01:00,8
2019-02-15 23:02:00,14
2019-02-15 23:03:00,21
2019-02-15 23:04:00,19
2019-02-15 23:05:00,21
2019-02-15 23:06:00,19
2019-02-15 23:07:00,22
2019-02-15 23:08:00,18
2019-02-15 23:09:00,19
2019-02-15 23:10:00,21
2019-02-15 23:11:00,23
2019-02-15 23:12:00,23
2019-02-15 23:13:00,22
2019-02-15 23:14:00,22
2019-02-15 23:15:00,23
2019-02-15 23:16:00,21
