53,"SELECT  sp.ra, sp.dec, sp.z as redshift,  sp.modelMag_g as g, sp.modelMagerr_g as err_g,   sp.modelMag_i as i, sp.modelMagerr_i as err_i,  gs.h_alpha_eqw, gs.oii_#_eqw     FROM GalSpecLine AS gs   JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid   JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS GN  ON GN.specobjID = gs.specobjid  JOIN Galaxy as gal ON gal.specobjId = gs.specobjid    WHERE   h_alpha_eqw between # and #   and oii_#_eqw between # and #   and sp.modelMag_g-sp.modelMag_i between # and #   and sp.z between # and #   and sp.modelMag_i-#*log1#(#E+#*sp.z) < #"
2019-02-15 00:02:00,1
2019-02-15 00:03:00,2
2019-02-15 00:04:00,2
2019-02-15 00:05:00,2
2019-02-15 00:06:00,2
2019-02-15 00:07:00,2
2019-02-15 00:08:00,3
2019-02-15 00:09:00,3
2019-02-15 00:10:00,2
2019-02-15 00:11:00,2
2019-02-15 00:12:00,2
2019-02-15 00:13:00,2
2019-02-15 00:14:00,2
2019-02-15 00:15:00,3
2019-02-15 00:16:00,3
2019-02-15 00:17:00,2
2019-02-15 00:18:00,3
2019-02-15 00:19:00,1
2019-02-15 00:20:00,2
2019-02-15 00:21:00,1
2019-02-15 00:22:00,2
2019-02-15 00:23:00,3
2019-02-15 00:24:00,2
2019-02-15 00:25:00,2
2019-02-15 00:26:00,2
