223,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff,  s.elodieLogG, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-11-14 13:16:00,1
2019-11-14 13:17:00,1
2019-11-14 13:18:00,1
2019-11-14 13:19:00,5
2019-11-14 13:20:00,27
2019-11-14 13:21:00,37
2019-11-14 13:22:00,36
2019-11-14 13:23:00,37
2019-11-14 13:24:00,37
2019-11-14 13:25:00,21
2019-11-14 13:28:00,12
2019-11-14 13:29:00,8
