542,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, modelFlux_u, modelFlux_g, modelFlux_r, modelFlux_i, modelFlux_z, modelFluxIVar_u, modelFluxIVar_g, modelFluxIVar_r, modelFluxIVar_i, modelFluxIVar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-14 17:01:00,10
2019-11-14 17:02:00,10
2019-11-14 17:03:00,10
2019-11-14 17:07:00,1
2019-11-14 17:10:00,13
2019-11-14 17:11:00,17
2019-11-14 17:30:00,10
2019-11-14 17:31:00,19
2019-11-14 17:32:00,1
2019-11-14 17:46:00,11
2019-11-14 17:47:00,19
2019-11-14 18:05:00,10
2019-11-14 18:10:00,3
2019-11-14 18:11:00,7
2019-11-14 18:21:00,10
2019-11-14 18:26:00,10
2019-11-14 18:32:00,10
2019-11-14 18:37:00,5
2019-11-14 18:38:00,5
2019-11-14 18:42:00,10
2019-11-14 18:43:00,10
2019-11-14 18:44:00,10
2019-11-14 18:46:00,10
2019-11-14 18:48:00,16
2019-11-14 18:49:00,5
2019-11-14 18:50:00,10
2019-11-14 18:52:00,10
2019-11-14 18:53:00,3
2019-11-14 18:55:00,20
2019-11-14 18:57:00,10
2019-11-14 18:59:00,2
2019-11-14 19:00:00,6
2019-11-14 19:05:00,10
2019-11-14 19:11:00,7
2019-11-14 19:12:00,13
2019-11-14 19:14:00,5
2019-11-14 19:15:00,10
2019-11-14 19:17:00,10
2019-11-14 19:19:00,10
2019-11-14 19:28:00,10
2019-11-14 19:30:00,10
2019-11-14 19:32:00,10
2019-11-14 19:34:00,20
2019-11-14 19:36:00,10
2019-11-14 19:41:00,10
2019-11-14 19:43:00,10
2019-11-14 19:45:00,10
2019-11-14 19:47:00,10
2019-11-14 19:49:00,10
2019-11-14 19:51:00,11
2019-11-14 19:53:00,10
2019-11-14 19:55:00,8
2019-11-14 19:57:00,10
2019-11-14 19:59:00,10
2019-11-14 20:00:00,5
2019-11-14 20:02:00,10
