11,"SELECT up_id, dbo.fGetNearestObjIdEq(up_ra,up_dec,#) as objId   FROM #upload WHERE dbo.fGetNearestObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&'<a target=INFO href=http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx?id=&&& + cast(x.objId as varchar(#)) + &&&>&&&+ cast(x.objId as varchar(#)) + &&&</a>&&& as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,  dbo.fPhotoTypeN(p.type) as type,  p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z  FROM #upload u  JOIN #x x ON x.up_id = u.up_id  JOIN PhotoTag p ON p.objID = x.objID  ORDER BY x.up_id  &&&#', @log=#, @filter=#"
2019-03-27 04:44:00,1
2019-03-27 04:46:00,1
2019-03-27 04:47:00,1
2019-03-27 04:53:00,1
2019-03-27 04:55:00,1
2019-03-27 04:58:00,1
2019-03-27 05:13:00,1
2019-03-27 05:26:00,1
2019-03-27 05:28:00,1
2019-03-27 14:37:00,1
2019-03-27 17:43:00,1
