234,select
2019-09-20 03:08:00,3
2019-09-20 04:14:00,3
2019-09-20 06:48:00,1
2019-09-20 06:49:00,2
2019-09-20 07:56:00,3
2019-09-20 08:43:00,3
2019-09-20 08:54:00,3
2019-09-20 09:01:00,1
2019-09-20 09:02:00,2
2019-09-20 09:29:00,1
2019-09-20 09:30:00,2
2019-09-20 09:34:00,1
2019-09-20 09:35:00,2
2019-09-20 09:41:00,3
2019-09-20 10:01:00,1
2019-09-20 10:02:00,2
2019-09-20 10:15:00,1
2019-09-20 10:16:00,2
2019-09-20 10:19:00,1
2019-09-20 10:20:00,2
2019-09-20 10:27:00,3
2019-09-20 11:01:00,1
2019-09-20 11:03:00,1
2019-09-20 11:29:00,3
2019-09-20 11:35:00,3
2019-09-20 12:02:00,3
2019-09-20 12:08:00,1
2019-09-20 12:09:00,2
2019-09-20 12:16:00,3
2019-09-20 12:18:00,2
2019-09-20 12:19:00,1
2019-09-20 12:22:00,3
2019-09-20 12:28:00,3
2019-09-20 12:32:00,3
2019-09-20 12:35:00,1
2019-09-20 12:36:00,2
2019-09-20 12:56:00,3
2019-09-20 12:59:00,3
2019-09-20 13:35:00,3
2019-09-20 13:54:00,3
2019-09-20 14:32:00,3
2019-09-20 14:50:00,1
2019-09-20 14:51:00,2
2019-09-20 14:54:00,3
2019-09-20 14:56:00,1
2019-09-20 14:57:00,2
2019-09-20 15:09:00,3
2019-09-20 15:18:00,3
2019-09-20 15:35:00,3
2019-09-20 15:53:00,3
2019-09-20 16:10:00,1
2019-09-20 16:12:00,1
2019-09-20 17:02:00,3
2019-09-20 17:06:00,3
2019-09-20 17:13:00,3
2019-09-20 17:54:00,3
2019-09-20 18:10:00,3
2019-09-20 18:16:00,3
2019-09-20 18:18:00,1
2019-09-20 18:19:00,2
2019-09-20 18:23:00,3
2019-09-20 18:26:00,3
2019-09-20 18:29:00,3
2019-09-20 18:39:00,3
2019-09-20 18:44:00,2
2019-09-20 18:45:00,1
2019-09-20 18:52:00,3
2019-09-20 18:55:00,3
2019-09-20 19:02:00,3
2019-09-20 19:05:00,1
2019-09-20 19:06:00,2
2019-09-20 19:40:00,3
2019-09-20 19:54:00,3
2019-09-20 19:57:00,1
2019-09-20 19:58:00,2
2019-09-20 20:06:00,3
2019-09-20 20:12:00,3
2019-09-20 20:20:00,3
2019-09-20 20:30:00,3
2019-09-20 20:34:00,3
2019-09-20 20:51:00,3
2019-09-20 21:15:00,3
2019-09-20 21:19:00,1
2019-09-20 21:22:00,1
2019-09-20 21:41:00,3
2019-09-20 21:46:00,1
2019-09-20 21:47:00,2
2019-09-20 21:49:00,3
2019-09-20 21:52:00,3
2019-09-20 22:04:00,3
2019-09-20 22:10:00,2
2019-09-20 22:11:00,1
2019-09-20 22:13:00,3
2019-09-20 22:16:00,1
2019-09-20 22:17:00,2
2019-09-20 22:21:00,3
2019-09-20 22:40:00,3
2019-09-20 22:55:00,3
2019-09-20 23:06:00,3
2019-09-20 23:35:00,3
2019-09-20 23:39:00,3
