10,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.z as redshift, s.zErr as e_redshift, s.zwarning, p.petrorad_u, p.petrorad_g, p.petrorad_r, p.petrorad_i, p.petrorad_z, p.petroraderr_u, p.petroraderr_g, p.petroraderr_r, p.petroraderr_i, p.petroraderr_z from galaxy p, specobj s, dbo.fgetNearByObjEq(#,+#,#)n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and(p.g BETWEEN # and #) order by p.g"
2019-05-30 06:55:00,1
2019-05-30 07:01:00,1
2019-05-30 07:02:00,1
2019-05-30 07:04:00,1
2019-05-30 07:06:00,1
2019-05-30 07:07:00,1
2019-05-30 07:08:00,1
2019-05-30 07:09:00,1
2019-05-30 10:30:00,1
2019-05-30 10:31:00,1
