763,"SELECT objid, ra, dec FROM PhotoObj WHERE objid=#"
2019-02-25 11:03:00,1
2019-02-25 11:06:00,4
2019-02-25 11:07:00,31
2019-02-25 11:08:00,34
2019-02-25 11:09:00,37
2019-02-25 11:10:00,36
2019-02-25 11:11:00,35
2019-02-25 11:12:00,12
2019-02-25 12:27:00,20
2019-02-25 12:28:00,5
2019-02-25 12:34:00,11
2019-02-25 12:38:00,6
2019-02-25 12:40:00,6
2019-02-25 12:44:00,6
2019-02-25 12:49:00,36
2019-02-25 12:50:00,1
2019-02-25 12:53:00,2
2019-02-25 12:55:00,23
2019-02-25 12:56:00,3
2019-02-25 13:01:00,2
2019-02-25 13:02:00,4
2019-02-25 13:03:00,5
2019-02-25 13:05:00,2
2019-02-25 13:06:00,4
2019-02-25 13:10:00,9
2019-02-25 13:14:00,11
2019-02-25 13:17:00,1
2019-02-25 13:19:00,5
2019-02-25 13:21:00,2
2019-02-25 13:23:00,1
2019-02-25 13:25:00,1
2019-02-25 13:28:00,4
2019-02-25 13:31:00,1
2019-02-25 14:10:00,17
2019-02-25 14:11:00,35
2019-02-25 14:12:00,36
2019-02-25 14:13:00,26
2019-02-25 14:14:00,11
2019-02-25 14:39:00,2
2019-02-25 14:40:00,5
2019-02-25 14:43:00,4
2019-02-25 14:44:00,4
2019-02-25 14:45:00,2
2019-02-25 14:49:00,3
2019-02-25 14:52:00,1
2019-02-25 14:53:00,2
2019-02-25 14:55:00,2
2019-02-25 14:56:00,1
2019-02-25 14:57:00,2
2019-02-25 14:58:00,4
2019-02-25 14:59:00,1
2019-02-25 15:00:00,9
2019-02-25 15:03:00,7
2019-02-25 15:05:00,1
2019-02-25 15:06:00,2
2019-02-25 15:07:00,1
2019-02-25 15:08:00,3
2019-02-25 15:10:00,2
2019-02-25 15:11:00,5
2019-02-25 15:13:00,5
2019-02-25 15:14:00,2
2019-02-25 15:16:00,6
2019-02-25 15:18:00,7
2019-02-25 15:19:00,4
2019-02-25 15:20:00,1
2019-02-25 15:21:00,1
2019-02-25 15:23:00,3
2019-02-25 15:24:00,1
2019-02-25 15:28:00,1
2019-02-25 15:31:00,7
2019-02-25 15:32:00,3
2019-02-25 15:33:00,1
2019-02-25 15:34:00,2
2019-02-25 15:41:00,4
2019-02-25 15:42:00,15
2019-02-25 15:43:00,1
2019-02-25 16:55:00,8
2019-02-25 16:56:00,33
2019-02-25 16:57:00,37
2019-02-25 16:58:00,32
2019-02-25 16:59:00,35
2019-02-25 17:00:00,5
