12,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID  AND p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.r BETWEEN # AND # AND p.i BETWEEN # AND # AND p.z BETWEEN # AND #"
2019-08-07 13:31:00,1
2019-08-07 13:32:00,1
2019-08-07 13:39:00,1
2019-08-07 13:45:00,1
2019-08-07 13:51:00,1
2019-08-07 13:57:00,1
2019-08-07 13:58:00,1
2019-08-07 14:00:00,1
2019-08-07 14:02:00,1
2019-08-07 14:04:00,1
2019-08-07 14:05:00,1
2019-08-07 14:06:00,1
