266,select * from stellarMassFSPSGranEarlyNoDust where specObjId=#
2019-08-07 00:42:00,1
2019-08-07 03:00:00,1
2019-08-07 04:52:00,1
2019-08-07 05:02:00,1
2019-08-07 05:08:00,1
2019-08-07 05:13:00,1
2019-08-07 05:19:00,1
2019-08-07 05:25:00,1
2019-08-07 05:30:00,1
2019-08-07 05:32:00,1
2019-08-07 05:34:00,1
2019-08-07 05:36:00,1
2019-08-07 05:38:00,1
2019-08-07 05:41:00,1
2019-08-07 05:44:00,1
2019-08-07 05:48:00,1
2019-08-07 05:51:00,1
2019-08-07 05:54:00,1
2019-08-07 05:56:00,1
2019-08-07 05:58:00,1
2019-08-07 06:01:00,1
2019-08-07 06:03:00,1
2019-08-07 06:06:00,1
2019-08-07 06:09:00,1
2019-08-07 06:12:00,1
2019-08-07 06:16:00,1
2019-08-07 06:20:00,1
2019-08-07 06:24:00,1
2019-08-07 06:27:00,1
2019-08-07 06:31:00,1
2019-08-07 06:35:00,1
2019-08-07 06:39:00,1
2019-08-07 06:42:00,1
2019-08-07 06:45:00,1
2019-08-07 06:48:00,1
2019-08-07 06:51:00,1
2019-08-07 06:55:00,1
2019-08-07 07:00:00,1
2019-08-07 07:04:00,1
2019-08-07 07:08:00,1
2019-08-07 07:12:00,1
2019-08-07 07:15:00,1
2019-08-07 07:19:00,1
2019-08-07 07:23:00,1
2019-08-07 07:27:00,1
2019-08-07 07:31:00,1
2019-08-07 07:33:00,1
2019-08-07 07:34:00,1
2019-08-07 07:38:00,1
2019-08-07 07:41:00,1
2019-08-07 07:44:00,1
2019-08-07 07:48:00,1
2019-08-07 07:52:00,1
2019-08-07 07:56:00,1
2019-08-07 07:59:00,1
2019-08-07 08:02:00,1
2019-08-07 08:06:00,1
2019-08-07 08:09:00,1
2019-08-07 08:12:00,1
2019-08-07 08:15:00,1
2019-08-07 08:19:00,1
2019-08-07 08:23:00,1
2019-08-07 08:26:00,1
2019-08-07 08:30:00,1
2019-08-07 08:33:00,1
2019-08-07 08:38:00,1
2019-08-07 08:42:00,1
2019-08-07 08:45:00,1
2019-08-07 08:49:00,1
2019-08-07 08:53:00,1
2019-08-07 08:56:00,1
2019-08-07 08:59:00,1
2019-08-07 09:02:00,1
2019-08-07 09:07:00,1
2019-08-07 09:10:00,1
2019-08-07 09:13:00,1
2019-08-07 09:16:00,1
2019-08-07 09:19:00,1
2019-08-07 09:22:00,1
2019-08-07 09:26:00,1
2019-08-07 09:29:00,1
2019-08-07 09:32:00,1
2019-08-07 09:35:00,1
2019-08-07 09:36:00,1
2019-08-07 09:39:00,1
2019-08-07 09:40:00,1
2019-08-07 09:42:00,1
2019-08-07 09:43:00,1
2019-08-07 09:47:00,1
2019-08-07 09:50:00,1
2019-08-07 09:54:00,1
2019-08-07 09:58:00,1
2019-08-07 10:01:00,1
2019-08-07 10:04:00,1
2019-08-07 10:07:00,1
2019-08-07 10:11:00,1
2019-08-07 10:15:00,1
2019-08-07 10:19:00,1
2019-08-07 10:23:00,1
2019-08-07 10:26:00,1
2019-08-07 10:30:00,1
2019-08-07 10:34:00,1
2019-08-07 10:37:00,1
2019-08-07 10:41:00,1
2019-08-07 10:45:00,1
2019-08-07 10:48:00,1
2019-08-07 10:51:00,1
2019-08-07 10:55:00,1
2019-08-07 10:58:00,1
2019-08-07 11:02:00,1
2019-08-07 11:05:00,1
2019-08-07 11:08:00,1
2019-08-07 11:11:00,1
2019-08-07 11:15:00,1
2019-08-07 11:19:00,1
2019-08-07 11:22:00,2
2019-08-07 11:25:00,1
2019-08-07 11:29:00,1
2019-08-07 11:32:00,1
2019-08-07 11:36:00,1
2019-08-07 11:40:00,1
2019-08-07 11:43:00,1
2019-08-07 11:47:00,1
2019-08-07 11:50:00,1
2019-08-07 11:54:00,1
2019-08-07 11:55:00,1
2019-08-07 11:57:00,1
2019-08-07 12:04:00,1
2019-08-07 12:07:00,1
2019-08-07 12:10:00,1
2019-08-07 12:13:00,1
2019-08-07 12:17:00,1
2019-08-07 12:20:00,1
2019-08-07 12:24:00,1
2019-08-07 12:28:00,1
2019-08-07 12:31:00,1
2019-08-07 12:34:00,1
2019-08-07 12:37:00,1
2019-08-07 12:40:00,1
2019-08-07 12:44:00,1
2019-08-07 12:47:00,1
2019-08-07 12:50:00,1
2019-08-07 12:53:00,1
2019-08-07 12:57:00,1
2019-08-07 13:00:00,1
2019-08-07 13:02:00,1
2019-08-07 13:05:00,1
2019-08-07 13:09:00,1
2019-08-07 13:12:00,1
2019-08-07 13:15:00,1
2019-08-07 13:18:00,1
2019-08-07 13:21:00,1
2019-08-07 13:24:00,1
2019-08-07 13:28:00,1
2019-08-07 13:32:00,1
2019-08-07 13:36:00,1
2019-08-07 13:40:00,1
2019-08-07 13:43:00,1
2019-08-07 13:46:00,1
2019-08-07 13:49:00,1
2019-08-07 13:53:00,1
2019-08-07 13:56:00,1
2019-08-07 13:59:00,1
2019-08-07 14:02:00,1
2019-08-07 14:05:00,1
2019-08-07 14:09:00,1
