626,SELECT TOP #
2019-07-07 00:03:00,4
2019-07-07 00:12:00,4
2019-07-07 00:21:00,4
2019-07-07 00:24:00,4
2019-07-07 00:27:00,4
2019-07-07 01:37:00,4
2019-07-07 01:46:00,3
2019-07-07 01:47:00,1
2019-07-07 01:49:00,4
2019-07-07 02:01:00,4
2019-07-07 02:06:00,4
2019-07-07 02:07:00,5
2019-07-07 02:16:00,4
2019-07-07 02:19:00,4
2019-07-07 02:22:00,4
2019-07-07 02:25:00,4
2019-07-07 02:31:00,3
2019-07-07 02:32:00,1
2019-07-07 02:34:00,4
2019-07-07 02:40:00,4
2019-07-07 02:43:00,4
2019-07-07 02:46:00,4
2019-07-07 02:49:00,4
2019-07-07 02:52:00,4
2019-07-07 02:55:00,4
2019-07-07 03:07:00,4
2019-07-07 03:13:00,4
2019-07-07 03:16:00,3
2019-07-07 03:17:00,1
2019-07-07 03:22:00,4
2019-07-07 03:25:00,4
2019-07-07 03:28:00,4
2019-07-07 03:37:00,4
2019-07-07 03:40:00,4
2019-07-07 03:49:00,4
2019-07-07 03:52:00,4
2019-07-07 03:55:00,4
2019-07-07 03:58:00,4
2019-07-07 04:01:00,4
2019-07-07 04:07:00,4
2019-07-07 04:10:00,4
2019-07-07 04:13:00,4
2019-07-07 04:16:00,4
2019-07-07 04:22:00,4
2019-07-07 04:25:00,4
2019-07-07 04:31:00,4
2019-07-07 04:34:00,4
2019-07-07 04:37:00,4
2019-07-07 04:43:00,4
2019-07-07 04:49:00,4
2019-07-07 05:04:00,4
2019-07-07 05:13:00,4
2019-07-07 05:19:00,4
2019-07-07 05:31:00,4
2019-07-07 05:34:00,4
2019-07-07 05:37:00,4
2019-07-07 05:49:00,4
2019-07-07 05:52:00,4
2019-07-07 06:04:00,4
2019-07-07 06:13:00,4
2019-07-07 06:19:00,4
2019-07-07 06:25:00,4
2019-07-07 06:28:00,4
2019-07-07 06:34:00,4
2019-07-07 06:38:00,4
2019-07-07 06:40:00,4
2019-07-07 06:43:00,4
2019-07-07 06:49:00,4
2019-07-07 06:52:00,4
2019-07-07 06:55:00,1
2019-07-07 06:56:00,3
2019-07-07 07:01:00,4
2019-07-07 07:04:00,4
2019-07-07 07:07:00,4
2019-07-07 07:10:00,4
2019-07-07 07:22:00,3
2019-07-07 07:23:00,1
2019-07-07 07:25:00,4
2019-07-07 07:28:00,4
2019-07-07 07:31:00,4
2019-07-07 07:34:00,4
2019-07-07 07:40:00,4
2019-07-07 07:46:00,4
2019-07-07 07:58:00,4
2019-07-07 08:01:00,4
2019-07-07 08:04:00,4
2019-07-07 08:10:00,4
2019-07-07 08:13:00,4
2019-07-07 08:16:00,1
2019-07-07 08:17:00,3
2019-07-07 08:22:00,4
2019-07-07 08:34:00,1
2019-07-07 08:36:00,1
2019-07-07 08:40:00,4
2019-07-07 08:43:00,4
2019-07-07 08:46:00,4
2019-07-07 08:49:00,4
2019-07-07 08:55:00,4
2019-07-07 09:01:00,4
2019-07-07 09:04:00,4
2019-07-07 09:13:00,4
2019-07-07 09:22:00,4
2019-07-07 09:25:00,4
2019-07-07 09:31:00,3
2019-07-07 09:34:00,4
2019-07-07 09:37:00,4
2019-07-07 09:40:00,4
2019-07-07 09:46:00,4
2019-07-07 09:55:00,4
2019-07-07 10:04:00,3
2019-07-07 10:07:00,4
2019-07-07 10:16:00,4
2019-07-07 10:19:00,4
2019-07-07 10:22:00,4
2019-07-07 10:25:00,4
2019-07-07 10:36:00,4
2019-07-07 10:40:00,1
2019-07-07 10:42:00,4
2019-07-07 10:45:00,4
2019-07-07 10:48:00,4
2019-07-07 10:51:00,4
2019-07-07 10:57:00,4
2019-07-07 11:04:00,4
2019-07-07 11:12:00,4
2019-07-07 11:15:00,4
2019-07-07 11:18:00,4
2019-07-07 11:21:00,4
2019-07-07 11:27:00,4
2019-07-07 11:30:00,4
2019-07-07 11:37:00,4
2019-07-07 11:39:00,4
2019-07-07 11:42:00,4
2019-07-07 11:45:00,4
2019-07-07 12:00:00,4
2019-07-07 12:06:00,4
2019-07-07 12:09:00,4
2019-07-07 12:18:00,4
2019-07-07 12:21:00,4
2019-07-07 12:27:00,4
2019-07-07 12:30:00,4
2019-07-07 12:33:00,4
2019-07-07 12:36:00,4
2019-07-07 12:39:00,4
2019-07-07 12:43:00,1
2019-07-07 12:44:00,3
2019-07-07 12:48:00,4
2019-07-07 12:51:00,4
2019-07-07 12:57:00,4
2019-07-07 13:00:00,4
2019-07-07 13:03:00,4
2019-07-07 13:10:00,1
2019-07-07 13:11:00,3
2019-07-07 13:12:00,3
2019-07-07 13:13:00,1
2019-07-07 13:15:00,4
2019-07-07 13:18:00,4
2019-07-07 13:21:00,4
2019-07-07 13:24:00,4
2019-07-07 13:27:00,2
2019-07-07 13:28:00,1
2019-07-07 13:29:00,1
2019-07-07 13:30:00,2
2019-07-07 13:31:00,1
2019-07-07 13:32:00,1
2019-07-07 13:36:00,2
2019-07-07 13:37:00,2
2019-07-07 13:45:00,4
2019-07-07 13:48:00,4
2019-07-07 13:54:00,4
2019-07-07 13:57:00,4
2019-07-07 14:03:00,4
2019-07-07 14:06:00,4
2019-07-07 14:15:00,4
