24306,"select top # haloid , lastprogenitorid, mainleafid, m_crit2#, d.np   from MR d  where snapnum=#                      -- reshift=#    and firsthaloinfofgroupid=d.haloid  -- centers of FOF groups    and m_crit2# between # and #  order by newid()                      -- random sub sample ) select d.haloid as d_id, d.m_crit2# as d_mass, d.np as d_np ,      p.haloId,p.x,p.y,p.z,p.snapnum,p.mainLeafId,p.halfMassRadius,p.m_crit2#,p.np   from descendants d       inner join MR p         on p.haloid between d.haloid and d.lastprogenitorid order by d.haloid, p.haloid"
2019-05-27 00:36:00,143
2019-05-27 00:37:00,167
2019-05-27 00:38:00,164
2019-05-27 00:39:00,160
2019-05-27 00:40:00,76
2019-05-27 00:41:00,3
2019-05-27 00:44:00,107
2019-05-27 00:47:00,12
2019-05-27 00:48:00,2
2019-05-27 00:51:00,3
2019-05-27 00:57:00,74
2019-05-27 00:58:00,111
2019-05-27 00:59:00,5
2019-05-27 01:00:00,12
2019-05-27 01:01:00,2
2019-05-27 01:13:00,118
2019-05-27 01:14:00,184
2019-05-27 01:15:00,180
2019-05-27 01:16:00,178
2019-05-27 01:17:00,184
2019-05-27 01:18:00,178
2019-05-27 01:19:00,185
2019-05-27 01:20:00,172
2019-05-27 01:21:00,172
2019-05-27 01:22:00,181
2019-05-27 01:23:00,174
2019-05-27 01:24:00,180
2019-05-27 01:25:00,179
2019-05-27 01:26:00,183
2019-05-27 01:27:00,169
2019-05-27 01:28:00,181
2019-05-27 01:29:00,178
2019-05-27 01:30:00,171
2019-05-27 01:31:00,181
2019-05-27 01:32:00,178
2019-05-27 01:33:00,171
2019-05-27 01:34:00,160
2019-05-27 01:35:00,171
2019-05-27 01:36:00,149
2019-05-27 01:37:00,186
2019-05-27 01:38:00,163
2019-05-27 01:39:00,140
2019-05-27 01:40:00,184
2019-05-27 01:41:00,171
2019-05-27 01:42:00,149
2019-05-27 01:43:00,178
2019-05-27 01:44:00,178
2019-05-27 01:45:00,180
2019-05-27 01:46:00,181
2019-05-27 01:47:00,182
2019-05-27 01:48:00,180
2019-05-27 01:49:00,183
2019-05-27 01:50:00,168
2019-05-27 01:51:00,171
2019-05-27 01:52:00,152
2019-05-27 01:53:00,155
2019-05-27 01:54:00,176
2019-05-27 01:55:00,167
2019-05-27 01:56:00,180
2019-05-27 01:57:00,162
2019-05-27 01:58:00,152
2019-05-27 01:59:00,163
2019-05-27 02:00:00,161
2019-05-27 02:01:00,173
2019-05-27 02:02:00,179
2019-05-27 02:03:00,174
2019-05-27 02:04:00,184
2019-05-27 02:05:00,159
2019-05-27 02:06:00,167
2019-05-27 02:07:00,149
2019-05-27 02:08:00,168
2019-05-27 02:09:00,183
2019-05-27 02:10:00,177
2019-05-27 02:11:00,56
2019-05-27 03:30:00,4
2019-05-27 03:31:00,10
2019-05-27 03:40:00,116
2019-05-27 03:41:00,177
2019-05-27 03:42:00,175
2019-05-27 03:43:00,175
2019-05-27 03:44:00,158
2019-05-27 03:45:00,182
2019-05-27 03:46:00,186
2019-05-27 03:47:00,173
2019-05-27 03:48:00,181
2019-05-27 03:49:00,178
2019-05-27 03:50:00,180
2019-05-27 03:51:00,179
2019-05-27 03:52:00,182
2019-05-27 03:53:00,156
2019-05-27 03:54:00,168
2019-05-27 03:55:00,157
2019-05-27 03:56:00,169
2019-05-27 03:57:00,164
2019-05-27 03:58:00,172
2019-05-27 03:59:00,172
2019-05-27 04:00:00,174
2019-05-27 04:01:00,170
2019-05-27 04:02:00,172
2019-05-27 04:03:00,161
2019-05-27 04:04:00,178
2019-05-27 04:05:00,179
2019-05-27 04:06:00,172
2019-05-27 04:07:00,175
2019-05-27 04:08:00,164
2019-05-27 04:09:00,169
2019-05-27 04:10:00,155
2019-05-27 04:11:00,149
2019-05-27 04:12:00,159
2019-05-27 04:13:00,156
2019-05-27 04:14:00,172
2019-05-27 04:15:00,180
2019-05-27 04:16:00,161
2019-05-27 04:17:00,163
2019-05-27 04:18:00,124
2019-05-27 04:19:00,117
2019-05-27 04:20:00,45
2019-05-27 04:21:00,9
2019-05-27 04:54:00,19
2019-05-27 04:55:00,1
2019-05-27 05:03:00,98
2019-05-27 05:04:00,172
2019-05-27 05:05:00,147
2019-05-27 05:06:00,192
2019-05-27 05:07:00,177
2019-05-27 05:08:00,186
2019-05-27 05:09:00,176
2019-05-27 05:10:00,185
2019-05-27 05:11:00,180
2019-05-27 05:12:00,176
2019-05-27 05:13:00,184
2019-05-27 05:14:00,177
2019-05-27 05:15:00,181
2019-05-27 05:16:00,173
2019-05-27 05:17:00,177
2019-05-27 05:18:00,188
2019-05-27 05:19:00,181
2019-05-27 05:20:00,174
2019-05-27 05:21:00,183
2019-05-27 05:22:00,183
2019-05-27 05:23:00,174
2019-05-27 05:24:00,179
2019-05-27 05:25:00,187
2019-05-27 05:26:00,177
2019-05-27 05:27:00,185
2019-05-27 05:28:00,182
2019-05-27 05:29:00,182
2019-05-27 05:30:00,179
2019-05-27 05:31:00,184
2019-05-27 05:32:00,176
2019-05-27 05:33:00,172
2019-05-27 05:34:00,181
2019-05-27 05:35:00,174
2019-05-27 05:36:00,173
2019-05-27 05:37:00,163
2019-05-27 05:38:00,107
2019-05-27 05:39:00,107
2019-05-27 05:40:00,104
2019-05-27 05:41:00,60
2019-05-27 05:42:00,3
