53828,select fieldid from field where medianpsfcolor_z between # and # and q_u between # and #
2019-01-25 01:10:00,136
2019-01-25 01:11:00,407
2019-01-25 01:12:00,408
2019-01-25 01:13:00,346
2019-01-25 01:14:00,4
2019-01-25 01:21:00,96
2019-01-25 01:26:00,162
2019-01-25 01:27:00,452
2019-01-25 01:28:00,301
2019-01-25 01:29:00,92
2019-01-25 01:40:00,40
2019-01-25 01:41:00,356
2019-01-25 01:42:00,126
2019-01-25 02:19:00,29
2019-01-25 02:33:00,105
2019-01-25 02:34:00,394
2019-01-25 02:38:00,80
2019-01-25 02:39:00,349
2019-01-25 02:40:00,107
2019-01-25 02:41:00,334
2019-01-25 02:42:00,323
2019-01-25 02:43:00,359
2019-01-25 02:44:00,43
2019-01-25 03:06:00,289
2019-01-25 03:07:00,88
2019-01-25 03:08:00,268
2019-01-25 03:09:00,257
2019-01-25 03:10:00,26
2019-01-25 03:11:00,182
2019-01-25 03:58:00,156
2019-01-25 03:59:00,24
2019-01-25 04:14:00,164
2019-01-25 04:15:00,264
2019-01-25 04:24:00,26
2019-01-25 04:25:00,15
2019-01-25 04:26:00,1
2019-01-25 04:38:00,11
2019-01-25 04:39:00,273
2019-01-25 04:40:00,192
2019-01-25 04:41:00,127
2019-01-25 04:42:00,49
2019-01-25 04:43:00,296
2019-01-25 04:44:00,125
2019-01-25 04:50:00,364
2019-01-25 04:51:00,398
2019-01-25 04:52:00,148
2019-01-25 04:55:00,16
2019-01-25 05:15:00,11
2019-01-25 05:16:00,17
2019-01-25 05:38:00,11
2019-01-25 05:39:00,17
2019-01-25 05:40:00,232
2019-01-25 05:41:00,49
2019-01-25 05:52:00,68
2019-01-25 06:11:00,29
2019-01-25 06:20:00,9
2019-01-25 06:24:00,6
2019-01-25 06:25:00,281
2019-01-25 06:26:00,306
2019-01-25 06:27:00,299
2019-01-25 06:28:00,291
2019-01-25 06:29:00,371
2019-01-25 06:30:00,340
2019-01-25 06:31:00,340
2019-01-25 06:32:00,375
2019-01-25 06:33:00,392
2019-01-25 06:34:00,413
2019-01-25 06:35:00,200
2019-01-25 06:36:00,353
2019-01-25 06:37:00,362
2019-01-25 06:38:00,347
