167,select fieldid from field where medianpsfcolor_z between -.# and .# and q_u between # and #
2019-01-25 01:11:00,4
2019-01-25 01:14:00,1
2019-01-25 02:34:00,2
2019-01-25 02:41:00,3
2019-01-25 02:43:00,1
2019-01-25 02:44:00,1
2019-01-25 03:09:00,2
2019-01-25 03:11:00,1
2019-01-25 04:51:00,1
2019-01-25 06:25:00,3
2019-01-25 06:26:00,3
2019-01-25 06:33:00,5
2019-01-25 06:34:00,2
2019-01-25 06:38:00,1
2019-01-25 06:40:00,1
2019-01-25 06:43:00,1
2019-01-25 06:44:00,4
2019-01-25 06:45:00,1
2019-01-25 06:46:00,2
2019-01-25 06:47:00,1
2019-01-25 06:51:00,1
2019-01-25 06:52:00,1
2019-01-25 07:00:00,8
2019-01-25 07:01:00,7
2019-01-25 07:02:00,5
2019-01-25 07:04:00,1
2019-01-25 07:06:00,1
2019-01-25 07:10:00,4
2019-01-25 07:12:00,2
2019-01-25 07:15:00,1
2019-01-25 07:16:00,2
2019-01-25 07:17:00,1
2019-01-25 07:18:00,1
2019-01-25 07:19:00,1
2019-01-25 08:08:00,8
2019-01-25 08:11:00,3
2019-01-25 08:24:00,1
2019-01-25 08:27:00,8
2019-01-25 08:45:00,2
2019-01-25 08:51:00,1
2019-01-25 08:52:00,2
2019-01-25 08:53:00,2
2019-01-25 08:54:00,2
2019-01-25 08:58:00,8
2019-01-25 08:59:00,2
2019-01-25 09:01:00,1
2019-01-25 09:02:00,4
2019-01-25 09:03:00,2
2019-01-25 09:04:00,1
2019-01-25 09:07:00,2
2019-01-25 10:02:00,2
2019-01-25 10:03:00,6
2019-01-25 10:13:00,2
2019-01-25 11:37:00,1
2019-01-25 11:38:00,2
2019-01-25 12:14:00,1
2019-01-25 12:16:00,3
2019-01-25 12:17:00,2
2019-01-25 12:18:00,1
2019-01-25 12:21:00,3
2019-01-25 12:22:00,2
2019-01-25 12:56:00,1
2019-01-25 12:57:00,2
2019-01-25 13:40:00,1
2019-01-25 13:41:00,2
2019-01-25 13:46:00,2
2019-01-25 14:36:00,2
2019-01-25 16:22:00,4
2019-01-25 23:24:00,3
