1576,"SELECT st.ra, st.dec, dbo.fIAUFromEq(st.ra, st.dec) as name, n.distance, st.petroMag_r, dbo.fPhotoTypeN(st.type) as type FROM Star AS st, fGetNearbyObjEq(#,#,#) AS n WHERE st.objID = n.objID"
2019-09-04 00:00:00,36
2019-09-04 00:01:00,39
2019-09-04 00:02:00,40
2019-09-04 00:03:00,39
2019-09-04 00:04:00,34
2019-09-04 00:05:00,40
2019-09-04 00:06:00,41
2019-09-04 00:07:00,43
2019-09-04 00:08:00,40
2019-09-04 00:09:00,43
2019-09-04 00:10:00,38
2019-09-04 00:11:00,41
2019-09-04 00:12:00,35
2019-09-04 00:13:00,38
2019-09-04 00:14:00,16
2019-09-04 01:49:00,37
2019-09-04 01:50:00,39
2019-09-04 01:51:00,40
2019-09-04 01:52:00,35
2019-09-04 01:53:00,37
2019-09-04 01:54:00,23
2019-09-04 01:55:00,37
2019-09-04 01:56:00,37
2019-09-04 01:57:00,39
2019-09-04 01:58:00,36
2019-09-04 01:59:00,32
2019-09-04 02:00:00,34
2019-09-04 02:01:00,18
2019-09-04 02:02:00,33
2019-09-04 02:03:00,37
2019-09-04 02:04:00,40
2019-09-04 02:05:00,39
2019-09-04 02:06:00,38
2019-09-04 02:07:00,37
2019-09-04 02:08:00,33
2019-09-04 02:09:00,37
2019-09-04 02:10:00,39
2019-09-04 02:11:00,32
2019-09-04 02:12:00,32
2019-09-04 02:13:00,30
2019-09-04 02:14:00,26
2019-09-04 02:15:00,42
2019-09-04 02:16:00,32
2019-09-04 02:17:00,34
2019-09-04 02:18:00,8
