41,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-11-27 05:13:00,1
2019-11-27 05:21:00,1
2019-11-27 05:40:00,1
2019-11-27 05:41:00,1
2019-11-27 05:48:00,1
2019-11-27 06:51:00,1
2019-11-27 07:06:00,1
2019-11-27 07:09:00,1
2019-11-27 07:18:00,1
2019-11-27 08:33:00,1
2019-11-27 08:36:00,1
2019-11-27 09:08:00,1
2019-11-27 09:12:00,1
2019-11-27 09:21:00,1
2019-11-27 09:33:00,1
2019-11-27 09:35:00,2
2019-11-27 10:04:00,1
2019-11-27 10:08:00,1
2019-11-27 10:10:00,1
2019-11-27 10:58:00,1
2019-11-27 10:59:00,2
2019-11-27 11:00:00,3
2019-11-27 11:01:00,1
2019-11-27 11:22:00,1
2019-11-27 11:23:00,1
2019-11-27 11:42:00,1
2019-11-27 11:50:00,1
2019-11-27 12:51:00,1
2019-11-27 12:59:00,1
2019-11-27 13:05:00,1
2019-11-27 13:12:00,1
2019-11-27 13:13:00,1
2019-11-27 13:56:00,1
2019-11-27 14:02:00,1
2019-11-27 15:23:00,1
2019-11-27 17:45:00,1
2019-11-27 18:35:00,1
