330,SELECT TOP #&&&x&&&x
2019-07-06 00:30:00,2
2019-07-06 06:12:00,2
2019-07-06 07:36:00,2
2019-07-06 09:01:00,2
2019-07-06 09:36:00,2
2019-07-06 10:17:00,2
2019-07-06 11:01:00,2
2019-07-06 11:12:00,2
2019-07-06 11:18:00,2
2019-07-06 11:24:00,2
2019-07-06 11:29:00,2
2019-07-06 11:34:00,2
2019-07-06 11:39:00,2
2019-07-06 11:44:00,2
2019-07-06 11:54:00,2
2019-07-06 11:59:00,2
2019-07-06 12:08:00,2
2019-07-06 12:16:00,2
2019-07-06 12:27:00,2
2019-07-06 12:30:00,2
2019-07-06 12:39:00,2
2019-07-06 12:42:00,2
2019-07-06 12:48:00,2
2019-07-06 13:00:00,2
2019-07-06 13:03:00,2
2019-07-06 13:06:00,2
2019-07-06 13:12:00,2
2019-07-06 13:18:00,2
2019-07-06 13:21:00,2
2019-07-06 13:24:00,2
2019-07-06 13:30:00,2
2019-07-06 13:33:00,2
2019-07-06 13:36:00,2
2019-07-06 13:39:00,2
2019-07-06 13:45:00,2
2019-07-06 13:48:00,2
2019-07-06 13:51:00,2
2019-07-06 13:54:00,2
2019-07-06 14:03:00,2
2019-07-06 14:06:00,2
2019-07-06 14:18:00,2
2019-07-06 14:21:00,2
2019-07-06 14:27:00,2
2019-07-06 14:30:00,2
2019-07-06 14:36:00,2
2019-07-06 14:39:00,2
2019-07-06 14:42:00,2
2019-07-06 14:45:00,2
2019-07-06 14:51:00,2
2019-07-06 14:54:00,1
2019-07-06 14:55:00,1
2019-07-06 15:04:00,2
2019-07-06 15:06:00,2
2019-07-06 15:12:00,2
2019-07-06 15:17:00,2
2019-07-06 15:18:00,2
2019-07-06 15:24:00,2
2019-07-06 15:33:00,2
2019-07-06 15:36:00,2
2019-07-06 15:42:00,2
2019-07-06 15:45:00,2
2019-07-06 15:51:00,2
2019-07-06 15:54:00,2
2019-07-06 16:00:00,2
2019-07-06 16:03:00,2
2019-07-06 16:06:00,2
2019-07-06 16:12:00,2
2019-07-06 16:15:00,2
2019-07-06 16:20:00,2
2019-07-06 16:24:00,2
2019-07-06 16:27:00,2
2019-07-06 16:30:00,2
2019-07-06 16:33:00,2
2019-07-06 16:36:00,2
2019-07-06 16:44:00,2
2019-07-06 16:45:00,2
2019-07-06 16:48:00,2
2019-07-06 16:51:00,2
2019-07-06 17:00:00,2
2019-07-06 17:03:00,2
2019-07-06 17:09:00,2
2019-07-06 17:15:00,2
2019-07-06 17:18:00,2
2019-07-06 17:21:00,2
2019-07-06 17:27:00,2
2019-07-06 17:33:00,2
2019-07-06 17:39:00,2
2019-07-06 17:42:00,2
2019-07-06 17:45:00,2
2019-07-06 17:48:00,2
2019-07-06 17:51:00,2
2019-07-06 18:03:00,2
2019-07-06 18:06:00,2
2019-07-06 18:09:00,2
2019-07-06 18:16:00,2
2019-07-06 18:21:00,2
2019-07-06 18:24:00,2
2019-07-06 18:29:00,2
2019-07-06 18:30:00,2
2019-07-06 18:33:00,2
2019-07-06 18:36:00,2
2019-07-06 18:42:00,2
2019-07-06 18:51:00,2
2019-07-06 18:54:00,2
2019-07-06 19:06:00,2
2019-07-06 19:09:00,2
2019-07-06 19:12:00,2
2019-07-06 19:15:00,2
2019-07-06 19:18:00,2
2019-07-06 19:24:00,2
2019-07-06 19:30:00,2
2019-07-06 19:33:00,2
2019-07-06 19:36:00,2
2019-07-06 19:39:00,2
2019-07-06 19:42:00,2
2019-07-06 19:45:00,2
2019-07-06 19:48:00,2
2019-07-06 19:51:00,2
2019-07-06 19:56:00,2
2019-07-06 19:58:00,2
2019-07-06 20:00:00,2
2019-07-06 20:03:00,2
2019-07-06 20:06:00,2
2019-07-06 20:14:00,2
2019-07-06 20:15:00,2
2019-07-06 20:21:00,2
2019-07-06 20:24:00,2
2019-07-06 20:33:00,2
2019-07-06 20:39:00,2
2019-07-06 20:42:00,2
2019-07-06 20:45:00,2
2019-07-06 20:48:00,2
2019-07-06 21:00:00,2
2019-07-06 21:09:00,2
2019-07-06 21:12:00,2
2019-07-06 21:15:00,2
2019-07-06 21:22:00,2
2019-07-06 21:24:00,2
2019-07-06 21:33:00,2
2019-07-06 21:39:00,2
2019-07-06 21:42:00,2
2019-07-06 21:45:00,2
2019-07-06 21:48:00,2
2019-07-06 21:51:00,2
2019-07-06 21:54:00,2
2019-07-06 21:57:00,2
2019-07-06 22:03:00,2
2019-07-06 22:06:00,2
2019-07-06 22:09:00,2
2019-07-06 22:12:00,2
2019-07-06 22:24:00,2
2019-07-06 22:30:00,2
2019-07-06 22:36:00,2
2019-07-06 22:45:00,2
2019-07-06 22:48:00,2
2019-07-06 22:54:00,2
2019-07-06 22:57:00,2
2019-07-06 23:03:00,2
2019-07-06 23:09:00,2
2019-07-06 23:12:00,2
2019-07-06 23:21:00,2
2019-07-06 23:24:00,2
2019-07-06 23:30:00,2
2019-07-06 23:45:00,2
2019-07-06 23:51:00,2
2019-07-06 23:57:00,2
