150,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-03-23 00:58:00,1
2019-03-23 01:59:00,1
2019-03-23 02:47:00,9
2019-03-23 02:51:00,9
2019-03-23 02:59:00,1
2019-03-23 03:03:00,1
2019-03-23 03:34:00,1
2019-03-23 03:37:00,1
2019-03-23 03:42:00,1
2019-03-23 03:50:00,7
2019-03-23 03:58:00,1
2019-03-23 04:02:00,1
2019-03-23 04:03:00,1
2019-03-23 04:05:00,1
2019-03-23 04:07:00,1
2019-03-23 04:08:00,2
2019-03-23 04:12:00,2
2019-03-23 04:24:00,1
2019-03-23 04:42:00,1
2019-03-23 04:59:00,1
2019-03-23 05:01:00,1
2019-03-23 05:58:00,1
2019-03-23 06:58:00,1
2019-03-23 07:04:00,7
2019-03-23 07:57:00,1
2019-03-23 08:58:00,1
2019-03-23 09:23:00,1
2019-03-23 09:24:00,1
2019-03-23 09:47:00,1
2019-03-23 10:01:00,1
2019-03-23 10:43:00,1
2019-03-23 11:59:00,1
2019-03-23 12:53:00,8
2019-03-23 12:54:00,8
2019-03-23 12:59:00,1
2019-03-23 13:01:00,1
2019-03-23 13:14:00,1
2019-03-23 13:15:00,1
2019-03-23 13:48:00,1
2019-03-23 13:58:00,1
2019-03-23 14:26:00,1
2019-03-23 14:28:00,1
2019-03-23 14:33:00,1
2019-03-23 14:35:00,1
2019-03-23 14:39:00,1
2019-03-23 14:42:00,1
2019-03-23 14:59:00,1
2019-03-23 15:58:00,1
2019-03-23 16:20:00,7
2019-03-23 16:21:00,7
2019-03-23 16:58:00,1
2019-03-23 17:58:00,1
2019-03-23 18:11:00,9
2019-03-23 18:43:00,9
2019-03-23 18:45:00,9
2019-03-23 18:55:00,1
2019-03-23 18:59:00,1
2019-03-23 19:26:00,2
2019-03-23 19:29:00,1
2019-03-23 19:52:00,9
2019-03-23 19:59:00,1
