309,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.modelMag_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-27 18:08:00,21
2019-06-27 18:09:00,19
2019-06-27 18:31:00,5
2019-06-27 18:32:00,4
2019-06-27 18:33:00,7
2019-06-27 18:34:00,7
2019-06-27 18:35:00,8
2019-06-27 18:36:00,5
2019-06-27 18:37:00,3
2019-06-27 18:38:00,4
2019-06-27 18:39:00,6
2019-06-27 18:40:00,7
2019-06-27 18:41:00,6
2019-06-27 18:42:00,5
2019-06-27 18:43:00,6
2019-06-27 18:44:00,7
2019-06-27 18:45:00,7
2019-06-27 18:46:00,6
2019-06-27 18:47:00,2
2019-06-27 18:48:00,5
2019-06-27 18:49:00,5
2019-06-27 18:50:00,6
2019-06-27 18:51:00,7
2019-06-27 18:52:00,7
2019-06-27 18:53:00,7
2019-06-27 18:54:00,6
2019-06-27 18:55:00,8
2019-06-27 18:56:00,4
2019-06-27 18:57:00,6
2019-06-27 18:58:00,7
2019-06-27 18:59:00,6
2019-06-27 19:00:00,6
2019-06-27 19:01:00,5
2019-06-27 19:02:00,9
2019-06-27 19:03:00,6
2019-06-27 19:04:00,8
2019-06-27 19:05:00,5
2019-06-27 19:06:00,7
2019-06-27 19:07:00,6
2019-06-27 19:08:00,7
2019-06-27 19:09:00,6
2019-06-27 19:10:00,6
2019-06-27 19:11:00,9
2019-06-27 19:12:00,5
2019-06-27 19:13:00,4
2019-06-27 19:14:00,6
2019-06-27 19:15:00,5
