121,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-04-12 00:45:00,1
2019-04-12 01:36:00,5
2019-04-12 01:37:00,2
2019-04-12 01:45:00,1
2019-04-12 01:51:00,1
2019-04-12 02:45:00,1
2019-04-12 03:05:00,1
2019-04-12 03:44:00,1
2019-04-12 03:59:00,9
2019-04-12 04:18:00,1
2019-04-12 04:45:00,1
2019-04-12 05:41:00,9
2019-04-12 05:45:00,1
2019-04-12 06:45:00,1
2019-04-12 06:56:00,1
2019-04-12 07:02:00,1
2019-04-12 07:08:00,1
2019-04-12 07:10:00,1
2019-04-12 07:44:00,1
2019-04-12 08:45:00,1
2019-04-12 09:44:00,1
2019-04-12 10:45:00,1
2019-04-12 10:52:00,1
2019-04-12 11:04:00,5
2019-04-12 11:05:00,4
2019-04-12 11:45:00,1
2019-04-12 12:32:00,5
2019-04-12 12:33:00,4
2019-04-12 12:37:00,9
2019-04-12 12:39:00,9
2019-04-12 12:44:00,9
2019-04-12 12:45:00,1
2019-04-12 13:44:00,9
2019-04-12 13:45:00,1
2019-04-12 13:52:00,1
2019-04-12 14:45:00,1
2019-04-12 15:45:00,1
2019-04-12 15:54:00,1
2019-04-12 15:55:00,1
2019-04-12 16:45:00,1
2019-04-12 16:51:00,1
2019-04-12 17:45:00,1
2019-04-12 18:27:00,6
2019-04-12 18:28:00,3
2019-04-12 18:42:00,1
2019-04-12 18:45:00,1
2019-04-12 19:45:00,1
