58,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),r.z,r.Zerr FROM Galaxy as p, photoz as r WHERE p.ObjID=r.ObjID and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-04-04 16:13:00,3
2019-04-04 16:15:00,2
2019-04-04 16:16:00,2
2019-04-04 16:17:00,7
2019-04-04 16:23:00,1
2019-04-04 16:24:00,5
2019-04-04 16:25:00,3
2019-04-04 16:26:00,6
2019-04-04 16:27:00,2
2019-04-04 16:28:00,2
2019-04-04 19:42:00,1
2019-04-04 19:43:00,4
2019-04-04 19:44:00,9
2019-04-04 19:45:00,7
2019-04-04 19:46:00,4
