223,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-02-12 00:58:00,1
2019-02-12 01:59:00,1
2019-02-12 02:57:00,1
2019-02-12 03:56:00,1
2019-02-12 04:57:00,1
2019-02-12 05:57:00,1
2019-02-12 06:03:00,12
2019-02-12 06:57:00,1
2019-02-12 07:56:00,1
2019-02-12 08:07:00,7
2019-02-12 08:08:00,2
2019-02-12 08:47:00,9
2019-02-12 08:57:00,1
2019-02-12 09:45:00,59
2019-02-12 09:47:00,59
2019-02-12 09:57:00,1
2019-02-12 10:58:00,1
2019-02-12 11:57:00,1
2019-02-12 12:27:00,9
2019-02-12 12:43:00,9
2019-02-12 12:57:00,1
2019-02-12 13:08:00,9
2019-02-12 13:58:00,1
2019-02-12 14:09:00,9
2019-02-12 14:59:00,1
2019-02-12 15:14:00,9
2019-02-12 15:58:00,1
2019-02-12 16:57:00,1
2019-02-12 17:21:00,2
2019-02-12 17:58:00,1
2019-02-12 18:32:00,9
2019-02-12 18:57:00,1
