8225,"select psf2GSigma1_u, psf2GSigma1_g, psf2GSigma1_r, psf2GSigma1_i, psf2GSigma1_z, psf2GSigma2_u, psf2GSigma2_g, psf2GSigma2_r, psf2GSigma2_i, psf2GSigma2_z, psf2GB_u, psf2GB_g,psf2GB_r, psf2GB_i, psf2GB_z, psfWidth_u, psfWidth_g, psfWidth_r, psfWidth_i, psfWidth_z from Field where run = # and rerun = # and camcol = # and field = #"
2019-02-12 10:16:00,17
2019-02-12 10:17:00,18
2019-02-12 10:18:00,15
2019-02-12 10:19:00,15
2019-02-12 10:20:00,14
2019-02-12 10:21:00,13
2019-02-12 10:22:00,20
2019-02-12 10:23:00,21
2019-02-12 10:24:00,5
2019-02-12 10:29:00,5
2019-02-12 10:30:00,15
2019-02-12 10:31:00,13
2019-02-12 10:32:00,2
2019-02-12 10:43:00,5
2019-02-12 10:44:00,15
2019-02-12 10:45:00,20
2019-02-12 10:59:00,35
2019-02-12 11:00:00,23
2019-02-12 11:01:00,38
2019-02-12 11:02:00,32
2019-02-12 11:03:00,43
2019-02-12 11:04:00,29
2019-02-12 11:05:00,24
2019-02-12 11:06:00,50
2019-02-12 11:07:00,51
2019-02-12 11:08:00,12
2019-02-12 11:09:00,41
2019-02-12 11:10:00,41
2019-02-12 11:11:00,27
2019-02-12 11:12:00,24
2019-02-12 11:13:00,25
2019-02-12 11:14:00,35
2019-02-12 11:15:00,30
2019-02-12 11:16:00,38
2019-02-12 11:17:00,26
2019-02-12 11:18:00,46
2019-02-12 11:19:00,32
2019-02-12 11:20:00,35
2019-02-12 11:21:00,40
2019-02-12 11:24:00,14
2019-02-12 11:25:00,11
2019-02-12 11:26:00,13
2019-02-12 11:27:00,13
2019-02-12 11:28:00,10
2019-02-12 11:29:00,10
2019-02-12 11:31:00,11
2019-02-12 11:32:00,5
2019-02-12 11:33:00,10
2019-02-12 11:34:00,11
2019-02-12 11:35:00,8
2019-02-12 11:36:00,9
2019-02-12 11:37:00,9
2019-02-12 11:38:00,8
2019-02-12 11:39:00,11
2019-02-12 11:40:00,6
2019-02-12 11:41:00,9
2019-02-12 11:42:00,7
2019-02-12 11:43:00,10
2019-02-12 11:44:00,9
2019-02-12 11:45:00,6
2019-02-12 11:46:00,10
2019-02-12 11:47:00,10
2019-02-12 11:48:00,9
2019-02-12 11:49:00,8
2019-02-12 11:50:00,9
2019-02-12 11:51:00,6
2019-02-12 11:52:00,9
2019-02-12 11:53:00,8
2019-02-12 11:54:00,8
2019-02-12 11:55:00,8
2019-02-12 11:56:00,8
2019-02-12 11:57:00,11
2019-02-12 11:58:00,8
2019-02-12 11:59:00,9
2019-02-12 12:00:00,8
2019-02-12 12:01:00,11
2019-02-12 12:02:00,11
2019-02-12 12:03:00,8
2019-02-12 12:04:00,9
2019-02-12 12:05:00,8
2019-02-12 12:06:00,11
2019-02-12 12:07:00,8
2019-02-12 12:08:00,7
2019-02-12 12:09:00,8
2019-02-12 12:10:00,7
2019-02-12 12:11:00,8
2019-02-12 12:12:00,8
2019-02-12 12:13:00,8
2019-02-12 12:14:00,8
2019-02-12 12:15:00,8
2019-02-12 12:16:00,7
