1314,"SELECT DISTINCT p.mode, p.clean, p.type, p.type_g, p.ra, p.dec, p.petroRad_g, p.deVRad_g, p.deVAB_g, p.deVPhi_g, p.expRad_g, p.expPhi_g, p.lnLExp_g, p.lnLDeV_g, psfMag_g FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-14 14:20:00,1
2019-04-14 14:54:00,1
2019-04-14 14:57:00,3
2019-04-14 14:58:00,2
2019-04-14 14:59:00,2
2019-04-14 15:00:00,4
2019-04-14 15:01:00,3
2019-04-14 15:02:00,3
2019-04-14 15:03:00,4
2019-04-14 15:04:00,3
2019-04-14 15:05:00,3
2019-04-14 15:06:00,4
2019-04-14 15:07:00,3
2019-04-14 15:08:00,4
2019-04-14 15:09:00,3
2019-04-14 15:10:00,4
2019-04-14 15:11:00,3
2019-04-14 15:12:00,3
2019-04-14 15:13:00,4
2019-04-14 15:14:00,3
2019-04-14 15:15:00,4
2019-04-14 15:16:00,3
2019-04-14 15:17:00,3
2019-04-14 15:18:00,4
2019-04-14 15:19:00,3
2019-04-14 15:20:00,4
2019-04-14 15:21:00,3
2019-04-14 15:22:00,3
2019-04-14 15:23:00,3
2019-04-14 15:24:00,3
2019-04-14 15:25:00,3
2019-04-14 15:26:00,3
2019-04-14 15:27:00,3
2019-04-14 15:28:00,3
2019-04-14 15:29:00,3
2019-04-14 15:30:00,3
2019-04-14 15:31:00,3
2019-04-14 15:32:00,2
2019-04-14 15:33:00,3
2019-04-14 15:34:00,3
2019-04-14 15:35:00,3
2019-04-14 15:36:00,3
2019-04-14 15:37:00,3
2019-04-14 15:38:00,3
2019-04-14 15:39:00,3
2019-04-14 15:40:00,3
2019-04-14 15:41:00,3
2019-04-14 15:42:00,3
2019-04-14 15:43:00,3
2019-04-14 15:44:00,2
2019-04-14 15:45:00,3
2019-04-14 15:46:00,3
2019-04-14 15:47:00,3
2019-04-14 15:48:00,3
2019-04-14 15:49:00,3
2019-04-14 15:50:00,3
2019-04-14 15:51:00,4
2019-04-14 15:52:00,3
2019-04-14 15:53:00,4
2019-04-14 15:54:00,3
2019-04-14 15:55:00,3
2019-04-14 15:56:00,3
2019-04-14 15:57:00,4
2019-04-14 15:58:00,3
2019-04-14 15:59:00,4
2019-04-14 16:00:00,3
2019-04-14 16:01:00,3
2019-04-14 16:02:00,3
2019-04-14 16:03:00,4
2019-04-14 16:04:00,3
2019-04-14 16:05:00,2
2019-04-14 16:06:00,4
2019-04-14 16:07:00,3
2019-04-14 16:08:00,4
2019-04-14 16:09:00,3
2019-04-14 16:10:00,3
2019-04-14 16:11:00,3
2019-04-14 16:12:00,4
2019-04-14 16:13:00,3
2019-04-14 16:14:00,3
2019-04-14 16:15:00,3
2019-04-14 16:16:00,3
2019-04-14 16:17:00,4
2019-04-14 16:18:00,3
2019-04-14 16:19:00,3
2019-04-14 16:20:00,4
2019-04-14 16:21:00,3
2019-04-14 16:22:00,3
2019-04-14 16:23:00,4
